Compound,Compound ID,Formula,Description,Link,Neutral mass (Da),m/z,Retention time (min),Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Adducts,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2
9.03_174.0135n,CSID10498074,C2H2N6O4,"3-amino-6-nitro-1,2,4,5-tetrazine 2,4-dioxide",http://nonlinear.com/redirect/outbound?p=chemspider&param=10498074,174.013506828058,173.006230396058,9.03026666666667,38.8,0.0733,-1.41466945938355,95.6450866119548,"M-H, 2M-H",932.758890692369,597.247379931579,549.004023219198,404.63368726206,1474.5572105771,1115.18873886288,427.327384147463,323.909780346772,574.477691948557,454.55181109552,518.729706232212,404.787509891981
9.02_767.4565n,CSID10307337,C40H61N7O8,Cyclo(L-alloisoleucyl-L-prolyl-L-leucyl-L-isoleucyl-L-phenylalanyl-L-seryl-L-prolyl),http://nonlinear.com/redirect/outbound?p=chemspider&param=10307337,767.456463512842,766.449187080842,9.016,35.4,3.31,-2.21313322632582,76.243237327928,"M-H2O-H, M-H",1968.83132833157,1668.08330953114,1241.58824362982,1283.31132098941,2342.73454939193,2184.67833778523,1146.51572548292,1102.68522910572,1164.86944797514,1242.1595169696,1458.37256620141,1456.83991408935
2.85_564.1427n,CSID176798,C24H20ClF4N8O2,RAZAXABAN HYDROCHLORIDE,http://nonlinear.com/redirect/outbound?p=chemspider&param=176798,564.142748877772,563.135472445772,2.85233333333333,32.9,0,2.72427849475206,67.8316157721789,"M-H, 2M-H",13920.5938233625,14124.9186102639,34623.2622637617,34121.8959537745,29016.0669889176,29038.7946068303,23692.3556308524,24503.1304660072,27760.5564986508,28153.7833739458,31145.7872000874,31523.7043769124
0.78_341.1028m/z,1002999,C20H14N4O2,"2-ethyl-5-(5-quinolin-2-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",,,341.102776126292,0.781816666666667,35.1,0,-4.74450047654166,80.7875935969715,M-H,460.812941577486,438.609730355136,550.811813115506,580.007965087744,425.204114914147,381.714297596972,382.220977782967,354.268205566905,435.8355102539,382.079471906557,369.718236627076,341.921630757389
0.87_112.9834m/z,CSID67038442,C2H6ClOS,chlorodimethylsulfoxide,http://nonlinear.com/redirect/outbound?p=chemspider&param=67038442,,112.983440022662,0.8739,33.8,0,0.898799103137395,70.2097140301775,M-H,31.7626429420334,26.1124588290549,34.8984525129199,41.7319856629034,36.4153642255404,32.8108826875671,34.8611240625698,32.4414600357121,24.8776046050922,20.9544694623669,26.0477227613487,24.0133855342868
0.96_243.0562m/z,267390,C13H11ClN3,Proflavin hydrochloride,,,243.056235309506,0.95955,32.5,0,-2.61540117309923,65.6151105363954,M-H,214.929069519056,206.326558542661,197.718338012611,218.32827880457,325.03488922117,304.182624816825,237.410917205036,243.415346674122,132.859329223648,141.706524678431,164.991446170287,175.889961242576
0.97_112.9833m/z,CSID67038442,C2H6ClOS,chlorodimethylsulfoxide,http://nonlinear.com/redirect/outbound?p=chemspider&param=67038442,,112.983273804907,0.973816666666667,33.9,0,-0.559371434688962,70.2097140301775,M-H,40.601687440215,32.9418731863642,36.0827257100092,36.3460675190729,36.7905957146201,31.9689198513172,33.4491052785816,27.5992584228442,30.9975316779878,29.2150535881524,30.1926304697937,27.4164832348968
0.97_451.2110m/z,1036054,C23H28N6O4,"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",,,451.211041295324,0.973816666666667,34.5,0,2.46413076522433,75.4397756084217,M-H,16.4092684923312,20.300704956037,24.6583254780934,27.9356842041057,12.6301878690787,15.2848968505896,24.7055511474586,23.0420076847037,38.7798676180373,41.0319826602978,17.0826413631411,19.689590454102
1.91_112.9826m/z,CSID4647379,C3HF5,"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",http://nonlinear.com/redirect/outbound?p=chemspider&param=4647379,,112.982616367773,1.91306666666667,38.3,0,4.67036754525476,96.846466182426,M-H2O-H,5.90210904026533,2.75538253784141,6.01969784026935,4.08843528357549,7.40759027660628,4.32495235857617,6.32900154044913,6.25873017057538,5.83263566232322,2.43529516458609,5.34771744914046,3.63727254200282
2.15_257.1334m/z,CSID120763,C20H18,"1,1,2-Triphenylethane",http://nonlinear.com/redirect/outbound?p=chemspider&param=120763,,257.133443942747,2.14788333333333,36,0,-0.506023176050224,80.479681181744,M-H,13.4421353331792,13.738743417684,16.1908715619136,16.3850010016451,15.8378689176317,11.5970530774725,6.79195609090739,6.17079797205287,29.2850627645366,30.0035351155403,10.6586677544306,14.8398973514677
