Compound,Compound ID,Formula,Description,Link,Neutral mass (Da),m/z,Retention time (min),Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Adducts,1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2
8.78_863.4952m/z,1009248,C23H34N3O5,"propan-2-yl 2,4-dimethyl-5-[4-[2-oxo-2-(oxolan-2-ylmethylamino)ethyl]piperidine-1-carbonyl]-1H-pyrrole-3-carboxylate",,,863.495160224652,8.78118333333333,37.5,0,3.17438110851768,91.4550691128486,2M-H,32.4078084205239,22.746769678564,115.848717786714,91.6800916526301,27.340899212001,18.1303518609042,179.887546420051,176.030804122889,33.2898152136725,25.5063359571716,65.4807984398131,52.4800825305753
8.78_977.4878m/z,1023441,C26H31N7O3,,,,977.487780703478,8.78118333333333,37.1,0,-2.67618154488827,88.8002712346207,2M-H,18.1842694297589,13.9913737558252,59.0545619181136,65.8462595033151,10.427768754111,9.52722194388764,108.531100147464,86.9914292809212,14.6514005822455,13.2628413215671,34.2898517623401,28.9160667079565
8.78_1175.6680m/z,CSID113380511,C56H105O23P,"(2R)-1-(Heptadecanoyloxy)-3-[(hydroxy{[(2S,3R,5S,6S)-3,4,5-trihydroxy-2,6-bis(α-D-mannopyranosyloxy)cyclohexyl]oxy}phosphoryl)oxy]-2-propanyl stearate",http://nonlinear.com/redirect/outbound?p=chemspider&param=113380511,,1175.66795419519,8.78118333333333,33.4,0,-2.71558714665068,70.0444525944657,M-H,14.2576769471373,2.02447509765625,43.3309867434439,30.1463602529665,4.49950839413101,0.0,83.2122807502525,52.4058837890587,11.8793500664581,8.53192138670568,33.8027343750086,21.0908814072493
8.88_865.4927m/z,CSID10269284,C43H68N10O10,Cyclotheonamide E4 hemiacetal,http://nonlinear.com/redirect/outbound?p=chemspider&param=10269284,,865.492663970991,8.8811,34.5,3.63,-1.6765278807058,70.7769416143722,M-H2O-H,0.0,0.0,26.3743998936592,22.6692665093126,6.82681111530633,5.42102038860804,36.8404541015801,24.1452303401944,6.55843808553068,4.26443487405561,15.4086754188644,14.8832727839373
8.90_819.5229m/z,CSID28289623,C23H38O6,"(7S,8R,11S,13R)-1,7,13-Trihydroxy-5,8-dimethyl-5-[(3E,5E)-3,5-octadien-1-yl]-4,15-dioxabicyclo[9.3.1]pentadecan-3-one",http://nonlinear.com/redirect/outbound?p=chemspider&param=28289623,,819.522869435584,8.89536666666667,37.6,0,-4.30467695685764,93.1396667390409,2M-H,1.47781372070494,0.0,9.23353643897564,11.784088194364,106.007789167599,34.050689578058,296.314292505458,160.037396128822,125.004832654143,78.8397343952126,0.0,0.0
8.97_463.2869m/z,43908,C30H40O4,Pristimerin,,,463.286866923297,8.96673333333333,34.4,0,3.19538598266321,75.6952113351368,M-H,113.156221027365,81.9551549610557,281.571437403671,249.546106180445,53.8814562283883,48.4368250944245,136.81022480488,118.695138495761,0.0,2.94770824909097,9.98143808095611,7.05726617574695
9.02_299.1990m/z,1018784,C18H28N3O2,"1-(3,5-dimethyl-1H-pyrrole-2-carbonyl)-N-(3-methylbutyl)piperidine-3-carboxamide",,,299.198955031422,9.016,35.5,0,-4.26122786845046,82.2699143469333,M-H2O-H,14.0941314697219,10.1649423312521,20.251532386419,23.9658375961054,0.0,0.0,0.0,0.0,0.0,0.0,43.4746093750331,37.6929723593178
9.02_490.2514m/z,1009353,C24H37N5O4S,"N-[2-(diethylamino)ethyl]-2-(6-oxo-3-pyrrolidin-1-ylsulfonyl-7,8,9,10-tetrahydro-6aH-pyrido[1,2-a]quinoxalin-5-yl)acetamide",,,490.251362670995,9.016,34.1,0,4.09849772916182,75.1182153604483,M-H,962.941988974729,483.701592326107,540.942207395978,336.106258085986,1170.51335096302,713.096025586318,466.624317347976,300.888981085326,611.230415582551,448.692817688028,656.284146070489,464.489325188423
9.03_112.9851m/z,CSID10239201,C2HF3O2,Trifluoroacetic acid,http://nonlinear.com/redirect/outbound?p=chemspider&param=10239201,,112.985121897351,9.03026666666667,43.2,23.5,-4.08508596250344,97.3942661823667,M-H,147.955777233307,86.7135488950843,118.483885681252,93.030836942297,164.207123347456,105.574879031686,114.351199795543,82.8466978211854,122.124633282993,109.049682089801,126.952744612657,102.751339714303
9.03_517.2695m/z,CSID16584619,C19H38N10O5S,arg-arg-gly-met,http://nonlinear.com/redirect/outbound?p=chemspider&param=16584619,,517.269512938496,9.03026666666667,40.6,29.1,3.96386386760127,78.6783388736945,M-H,2107.71635613492,965.443709611558,1390.82408535517,748.590480566363,2992.01406807265,1699.85269075711,1229.240755821,740.87127614041,1501.67205669551,1042.48104189387,1461.0541100502,1041.57916349253
9.03_780.4647m/z,CSID4944302,C45H68NO8P,"(2R)-3-(Palmitoyloxy)-2-[(3-{4-[(1E,3E,5E)-6-phenyl-1,3,5-hexatrien-1-yl]phenyl}propanoyl)oxy]propyl 2-(trimethylammonio)ethyl phosphate",http://nonlinear.com/redirect/outbound?p=chemspider&param=4944302,,780.464661346343,9.03026666666667,33.4,0,4.71263972596152,72.6606219335997,M-H,1722.0005268762,1204.53175956045,1017.704039812,903.273804068615,2044.37079349725,1635.10311758644,940.091140617191,790.365997790975,1021.57365978331,968.375720078595,1194.35155062115,1089.21466276555
9.04_801.3643m/z,1001651,C23H23N5O2,"ethyl 4-[(6-ethyl-5-methyl-2-phenyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-yl)amino]benzoate",,,801.364347294566,9.04453333333333,37.6,0,1.58745285845309,89.7218460391161,2M-H,3.18765258789119,2.35888671874966,37.6877527792613,38.2651362419037,28.2594552971022,19.4526369571603,80.4154052734206,60.8574523925974,0.0,0.0,13.5866394042901,11.8251697797511
9.07_758.5336m/z,CSID113376115,C41H80NO10P,O-{[(2R)-2-(Docosanoyloxy)-3-(tridecanoyloxy)propoxy](hydroxy)phosphoryl}-L-serine,http://nonlinear.com/redirect/outbound?p=chemspider&param=113376115,,758.533602537597,9.07308333333333,46.4,53.3,-0.694927688936716,79.6914096306777,M-H2O-H,0.0,0.0,11161.8852307063,10522.7034177484,15473.833373973,13040.2937271719,13695.7020098596,11543.8095042178,17572.775389336,15830.2349982946,0.0,0.0
9.14_387.2505m/z,1075388,C10H16N3O,"N,5-di(propan-2-yl)-1H-pyrazole-3-carboxamide",,,387.250538786138,9.14445,38.2,0,-2.21263832402827,93.7760558975836,2M-H,135.596769622747,96.7512710330526,62.9342970659402,52.9577027559398,98.0299677736036,67.7003331183944,46.4721706613382,31.8833465576221,73.1724868863258,63.0186132882394,73.4135589301605,86.6161667534233
9.14_447.2715m/z,CSID16643880,C22H38N6O5,his-ile-val-val,http://nonlinear.com/redirect/outbound?p=chemspider&param=16643880,,447.271546407951,9.14445,36.1,0.75,-2.10270706135283,82.1227263213279,M-H2O-H,187.470799828584,124.230650007747,84.4716169553342,71.4892359547544,129.60554791506,94.2198939323252,58.8433535099047,48.9016493672267,95.7018087338749,82.8597721457481,102.064422607376,123.622938435648
9.14_561.2576m/z,990708,C17H16FN3,RS-127445,,,561.257596814274,9.14445,37.6,0,-1.384130017998,89.7901501343726,2M-H,58.8659973144754,15.4993286132649,35.1016946385325,12.0102233886786,35.1676028967277,15.2195739746049,26.0124814510339,11.9658812880691,37.9524938719494,19.0099445966163,35.17266857621,24.0558073331857
9.22_851.5078m/z,1020765,C23H34N6S,4-ethyl-N-[2-(4-ethylpiperazin-1-yl)-4-methylquinolin-6-yl]piperazine-1-carbothioamide,,,851.507826672066,9.21581666666667,37.5,0,2.31183031843302,90.3845144242535,2M-H,119.127482662353,71.5757455799944,735.931929366844,734.660755458873,195.322265475265,159.537773927734,1438.82301279851,1213.5827725944,186.847745303904,178.007576149499,675.9106445318,601.398484094905
9.25_452.2610m/z,CSID16579524,C20H35N7O5,ala-his-lys-val,http://nonlinear.com/redirect/outbound?p=chemspider&param=16579524,,452.261030666566,9.2508,35.4,0,-3.66205915937691,81.265189943844,M-H,111.456210829537,73.5070648193117,104.783612065625,88.370208391146,194.660566863704,140.588441119859,98.8017769542881,76.9476928711265,64.6582434564937,61.0216212272623,65.2128285765397,80.6150607997222
9.25_923.5130m/z,CSID16643775,C22H34N6O5,his-ile-pro-pro,http://nonlinear.com/redirect/outbound?p=chemspider&param=16643775,,923.512966676509,9.2508,37.4,0,2.27914242813229,89.730124006486,2M-H,25.9238890409267,17.0234864641471,44.8961833567762,39.4242760039801,6.25192237372709,3.83273327350719,37.8066244048222,30.5858159065534,49.8625183105611,50.2495537700477,42.1672668456961,30.1025700569347
9.29_598.3513m/z,CSID24604567,C38H49NO5,2-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)-5-(octadecylamino)benzoic acid,http://nonlinear.com/redirect/outbound?p=chemspider&param=24604567,,598.351332610442,9.29363333333333,33.7,1.45,-4.11264205323458,72.0210980620791,M-H,2269.47432565241,1376.66418343676,2275.16061129436,1717.51944008537,3147.15399914929,2188.71354518415,2207.78776945134,1650.37351685107,3099.70867353168,2578.73815825454,1347.38404983982,1083.20161211125
9.31_669.4921m/z,CSID24766242,C45H68O5,"(2S)-1-Hydroxy-3-[(8Z,11Z,14Z,17Z)-8,11,14,17-icosatetraenoyloxy]-2-propanyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",http://nonlinear.com/redirect/outbound?p=chemspider&param=24766242,,669.492101639542,9.3079,32.5,0,4.7461552085895,68.0755596974029,M-H2O-H,43.5729035749765,17.7391141478247,66.0224910974653,53.7410271167777,76.4967957138663,44.878113150603,3.90945440531056,0.0,171.824707269681,131.648223996203,40.9836728572654,40.8900148272502
9.34_356.1607m/z,1020569,C19H25N3O5,ethyl 1-[2-[5-(cyclopropanecarbonylamino)pyridin-2-yl]oxyacetyl]piperidine-4-carboxylate,,,356.160732997631,9.33645,35.4,0,-2.25704362291316,79.4478785730352,M-H2O-H,0.0,1.49897766113156,0.0,0.0,1.38277415995611,1.1616954000891,0.0,0.0,0.0,1.64685052633274,0.0,3.72276306152585
9.34_414.3145m/z,44013,C23H48NO4P,ELAIDYLPHOSPHOCHOLINE,,,414.314502789832,9.33645,36.1,0,0.572903401862601,81.3175584463241,M-H2O-H,31.8915405273601,22.8417875228367,14.1296079158735,11.6452637910846,102.240829467785,75.2554734813815,14.7945840709352,9.90824071885706,86.2889250517116,49.2897113063221,31.697540044772,45.0647630846257
9.34_529.2753m/z,176913,C21H38N8O8,Leu Glu Asn Arg,,,529.275338411134,9.33645,36.6,0,2.5545492475885,86.257308195152,M-H,2287.02241231849,1841.83651225257,1311.01240825219,1253.49239133649,1920.27770247972,1689.57607234379,1961.77948453215,1701.08093112288,252.262729698135,247.491363056961,1582.27859497095,1271.77669154879
9.35_937.6041m/z,65398,C25H43NO7,Tumonoic Acid G,,,937.604082478181,9.35071666666667,37.5,0,3.67935183710194,92.0105456966561,2M-H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.41_353.1969m/z,1003395,C20H26N4O2,4-[4-[(cyclobutanecarbonylamino)methyl]pyrazol-1-yl]-N-methyl-N-propylbenzamide,,,353.19685212092,9.40781666666667,35.5,0,-4.08672058858578,82.0980408888773,M-H,4329.31274874292,3809.48551007989,2992.9431605133,3538.65650850814,3604.03124628734,3819.7313944087,3801.76791088604,3895.15900037078,3364.61796551175,4078.97676351582,4133.05433124071,4786.60329847308
9.45_383.1887m/z,1002074,C21H27FN4O3,N-(3-ethoxypropyl)-1-[1-(4-fluorophenyl)-6-oxopyridazin-3-yl]piperidine-3-carboxamide,,,383.188729633083,9.45063333333333,37,0,-0.368493812574591,85.4067680086454,M-H2O-H,20.4854867242635,26.1514154533383,10.1576724159873,16.2530669570035,15.4323808421866,20.6643829643814,11.624015436472,16.6343697730779,12.6409003401051,21.6461163237115,15.914457154135,22.8196052062554
9.46_355.1565m/z,1004494,C22H22N4O2,"N-benzyl-2-(4-ethoxy-3-methoxyphenyl)imidazo[1,2-a]pyrimidin-3-amine",,,355.156522808235,9.46491666666667,36.3,0,0.235089315807986,81.7321718906851,M-H2O-H,80.306554514602,129.622841829487,43.7434433723647,74.9082053192564,54.2829766266394,98.2252635724797,44.7604770920776,62.724750212905,72.2103358474493,99.7318909664858,63.5299159913523,130.301020283181
9.46_421.2249m/z,1009302,C24H32N4O4,"N-(oxolan-2-ylmethyl)-2-[6-oxo-3-(pyrrolidine-1-carbonyl)-7,8,9,10-tetrahydro-6aH-pyrido[1,2-a]quinoxalin-5-yl]acetamide",,,421.224896546722,9.46491666666667,35.2,0,0.868028796624831,77.0249838675353,M-H2O-H,46.5859990119863,35.4539279171483,33.6288961018807,38.0131837129526,49.2521467784807,38.2264747557877,34.9332581758505,34.3061124009227,39.6904979608519,39.8549506660696,47.358779907235,45.4966428279827
9.48_568.3471m/z,264655,C26H49N7O8,Leu Gln Lys Ser Leu,,,568.347136748715,9.47918333333333,35.6,0,1.21952807108303,79.5128477246828,M-H2O-H,23.4035338163366,12.5016755605808,24.0762512168596,16.3130829334845,42.0858122079115,20.3287048339827,64.7070310711895,50.2923584580155,2.17230926867848,9.2188110947618,11.3803748634074,5.92794805764959
9.49_339.1251m/z,1000666,C21H18N4O2,"2-[2-[3-(2-methylphenyl)-1,2,4-oxadiazol-5-yl]ethyl]-6-phenylpyridazin-3-one",,,339.125083083555,9.49345,35.6,0,-0.144165958097629,78.0955444121762,M-H2O-H,4.28242492675903,41.3133151982429,0.937235066000052,24.666590458172,0.899552563484543,26.9348194413109,3.11856079101199,13.5484620332769,0.0,34.0068207383037,3.93252563476349,31.4091796874983
9.49_739.4225m/z,1027737,C24H26N4,"N-(2-ethyl-6-methylphenyl)-5,7-dimethyl-2-(4-methylphenyl)imidazo[1,2-a]pyrimidin-3-amine",,,739.422493661077,9.49345,37.2,0,-2.32784933860439,88.902294961772,2M-H,1.45886230468761,0.0,7.36421840758821,11.0355529785181,5.79577220034104,8.47952273488016,16.0096435546987,9.66189575194778,1.52306329627019,1.66918945312426,38.0793406236846,32.7760925888958
9.56_271.2260m/z,CSID67153115,C12H28N6O,"N-(2-Aminoethyl)-N′-{2-[(2-{(Z)-[(3E)-3-(hydroxyimino)-2-butanylidene]amino}ethyl)amino]ethyl}-1,2-ethanediamine",http://nonlinear.com/redirect/outbound?p=chemspider&param=67153115,,271.226012237195,9.55698333333333,38.1,8.02,3.04397644043393,86.1763020372314,M-H,48.27242672949,41.656799316374,33.7136383056668,38.5642700195188,73.3325840894174,35.2678070068287,38.5637690779235,39.1582887701668,24.4998016357578,39.2994994819262,44.3262176513674,39.0446299026606
9.56_377.1382m/z,1004276,C21H22N3O5,"methyl 2-[2-(1H-indol-3-yl)ethylcarbamoylamino]-4,5-dimethoxybenzoate",,,377.138150833545,9.55698333333333,38.1,0,0.116458695361281,90.6969791548657,M-H2O-H,1478.24525922585,1937.26576990423,1688.77608959503,1946.83371888205,3007.55093800982,3505.87200485407,2079.98404865269,2340.54069566064,65.8215883477608,805.317315850663,1466.51363752261,1412.14501853381
9.56_627.2185m/z,1025707,C16H16N3O4,1-[2-(4-oxo-3H-phthalazin-1-yl)acetyl]piperidine-4-carboxylic acid,,,627.218491201603,9.55698333333333,37.7,0,-3.81131897947045,93.0080631342705,2M-H,20.9245410317926,21.0594177842123,17.625927134188,15.3218076229098,29.4679537205858,24.0726622939298,20.4539275585942,16.1447470003557,3.75206458350493,12.7768861055358,41.4982662923644,35.5963967113348
9.56_673.2226m/z,1034524,C15H18FN4O2S,"3-(4-fluorophenyl)-5-[(2S)-1-propylsulfonylpyrrolidin-2-yl]-1H-1,2,4-triazole",,,673.222641636702,9.55698333333333,37.1,0,4.47617492206046,90.9351465142599,2M-H,71.2800676868165,70.4475915322611,41.0413995186048,59.9368482455687,70.5053672282304,74.0518386789705,53.2451661805374,44.7648946388411,27.5529550915213,28.7682303273826,119.790374815363,111.134446314739
9.57_487.3562m/z,309644,C17H24O,"1-(6-tert-Butyl-1,1-dimethyl-2,3-dihydro-1H-inden-4-yl)ethanone",,,487.356244566938,9.57126666666667,35.7,0,-3.91055431479924,82.8603468529686,2M-H,13.0719299316476,3.62457269430232,15.8564453125034,5.54519653320318,23.4023127835353,10.1767107973217,3.76520831218573,0.0,33.9293823242022,31.790267944321,15.9441834688294,12.3398895263685
9.57_514.3741m/z,CSID13828819,C24H49N7O5,leu-lys-lys-lys,http://nonlinear.com/redirect/outbound?p=chemspider&param=13828819,,514.374135304085,9.57126666666667,35.3,0,3.67444964072684,81.010762495896,M-H,54.9310111314049,17.5567359678318,124.341064214749,60.3455861720808,132.195311486778,66.9594419671051,39.6054241378503,13.119598660497,268.73280583646,190.854706078705,127.626794795368,77.6408350229181
9.57_657.3616m/z,1013183,C17H23N5O2,1-[4-(dimethylamino)pyrimidin-5-yl]-N-(furan-2-ylmethyl)piperidine-4-carboxamide,,,657.361638320719,9.57126666666667,38,0,-2.18000209324184,92.6433314293315,2M-H,4.77340168690326,2.5432434082025,11.5608215331987,14.9526979923264,51.0373536348201,47.1603088378688,35.3775025010135,34.8739367760269,0.0,0.0,6.77870180693346,4.93896484375881
9.57_853.5290m/z,1013811,C22H33N7O2,"N-(2-morpholin-4-ylethyl)-1-(7,8,9,10-tetrahydro-6H-purino[9,8-a]azepin-4-yl)piperidine-3-carboxamide",,,853.52900902443,9.57126666666667,34.5,0,-3.34824406978557,76.2923196545545,2M-H,0.0,0.0,5.6215771153685,7.13217698063132,0.0,0.0,16.0049439668652,11.7813092748809,0.0,0.972137451170738,5.19313392705037,2.3841857910129
9.61_336.2455m/z,995305,C22H33N3O,N-butan-2-yl-1-[(1-ethyl-2-methylindol-3-yl)methyl]piperidine-4-carboxamide,,,336.245512154326,9.61408333333333,34.9,0,2.78831128814271,77.5942668978026,M-H2O-H,38.3793623645031,31.0949939206725,30.0168402509016,27.3236153796191,111.497870455776,79.4965820313017,23.5957603814659,18.7325136661496,14.0463256835879,28.2891387939418,16.0501150570472,7.54768924607982
9.61_496.2827m/z,65481,C25H45N3O6S,Carmamycin A,,,496.282658499732,9.61408333333333,34,0,-4.6721164273696,75.4729083389671,M-H2O-H,493.966175929367,301.408913763465,392.008045196663,270.645034909301,1329.36964657769,939.381147265097,375.42101157647,266.955585146537,333.819038152838,289.614942434358,220.231750011505,169.515050513778
9.63_748.4553m/z,CSID113376166,C41H70NO10P,"O-(Hydroxy{(2R)-2-[(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoyloxy]-3-[(9Z)-9-pentadecenoyloxy]propoxy}phosphoryl)-L-serine",http://nonlinear.com/redirect/outbound?p=chemspider&param=113376166,,748.455312281817,9.62835,32.2,0,-0.756505606531942,62.0817022896231,M-H2O-H,0.0,0.0,13.7541503914229,11.3433227539069,0.0,0.0,19.4625471550975,13.3817138671897,0.859130859375455,0.0,8.33563232420892,3.82003784179733
9.70_375.1324m/z,1010549,C18H24N4OS2,"[4-[4-(piperidin-1-ylmethyl)-1,3-thiazol-2-yl]piperazin-1-yl]-thiophen-3-ylmethanone",,,375.132393039416,9.69971666666667,34.2,0,1.37200015286723,72.8413755426052,M-H,9.51066544757184,9.15228172663442,5.52625387559299,10.4704045890911,5.77490159901406,9.49363545899651,2.63813781738264,1.77818298340134,2.25536445463037,8.41178894042548,5.61688232421716,4.98534367500152
9.73_701.4476m/z,CSID10243328,C38H62N4O8,"(3S,6R,7S,10S,13S,16S,21aS)-3,13-Di[(2S)-2-butanyl]-10,16-diisopropyl-2,7,12-trimethyl-6-(4-pentyn-1-yl)decahydro-6H-pyrrolo[2,1-f][1,10,4,7,13,16]dioxatetraazacyclononadecine-1,4,8,11,14,17(7H,16H)-h",http://nonlinear.com/redirect/outbound?p=chemspider&param=10243328,,,,38.1,19.9,-2.7363594107124,73.6131341920195,M-H,0.0,0.0,13.0435344693002,11.5287034636734,1.77356098629512,3.20980826019797,37.7264158735099,27.8738583164816,1.79458157566459,2.63732910156534,5.15496826172011,5.00296026468607
9.74_815.4367m/z,21089,C17H28N8O4,Pro Arg His,,,815.436662035684,9.74255,37.8,0,-3.38584442370754,93.2009962220443,2M-H,4.69818109274064,2.06964117288942,55.3778700854032,45.5202943086784,11.1316853934939,3.98086535930418,98.7744138240475,65.8788747450633,3.20033581146765,0.0,23.0166627168622,12.2397174482174
9.76_937.5288m/z,1006817,C25H35N5O4,"2-[4-[2-(diethylamino)-2-oxoethyl]piperazin-1-yl]-6-(2,2-dimethylpropanoylamino)quinoline-4-carboxylic acid",,,937.528755385577,9.76325,37.8,0,-1.89383079231347,91.1432838022048,2M-H,365.001347786704,265.390748500637,764.668316107769,645.866360780043,137.97666728857,104.779077687321,931.427484349734,730.069835015003,430.961311784145,418.120432407555,481.853729247699,431.034038304931
9.78_570.2724m/z,58309,C32H37N5O5,Endomorphin-2,http://nonlinear.com/redirect/outbound?p=hmdb&param=HMDB05774,,570.272359378157,9.77753333333333,34.6,0,0.291454141820238,73.5146275356322,M-H,29.0013724534608,4.47064208984546,28.9994202256296,8.03683471679614,98.9412411257915,20.8104856014311,24.9585964957067,6.26052844524457,35.1979992436835,12.5292053222595,25.1141090030202,8.90597534179284
9.83_773.4643m/z,19757,C14H29N9O4,Arg Gly Arg,,,773.464318374031,9.83461666666667,38.3,0,3.99487272590018,96.4153964585648,2M-H,110.063037819041,93.5901212119952,279.203589144019,243.017232963708,62.9486380976263,43.1275730086764,385.506158603874,314.632632201137,131.858937949361,99.8844327764621,434.992547636528,348.899620119444
9.85_454.2754m/z,1001642,C24H37N7S,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-methylpiperazin-1-yl)propyl]thiourea,,,454.275426231124,9.8489,32.8,0,-0.906154988543174,64.8719563405713,M-H,7378.83451611225,6295.06080965783,7363.60242608295,6611.02290520239,11885.1076312095,10184.998139935,5594.04375714232,5022.59926148057,4611.91839618728,5127.75507190138,5481.76193205483,4100.0753905647
9.85_780.4610m/z,CSID4944302,C45H68NO8P,"(2R)-3-(Palmitoyloxy)-2-[(3-{4-[(1E,3E,5E)-6-phenyl-1,3,5-hexatrien-1-yl]phenyl}propanoyl)oxy]propyl 2-(trimethylammonio)ethyl phosphate",http://nonlinear.com/redirect/outbound?p=chemspider&param=4944302,,780.460988043747,9.8489,35.4,0,0.0121255683828382,76.9065714050355,M-H,79.9382360090245,26.2751156687775,79.0226438045146,39.7526347124345,199.944832374712,70.2767944336203,87.6375523278152,38.3528754223715,38.3646307140852,22.0822675292559,72.696066935088,40.5166672784572
9.88_447.3459m/z,35248,C14H24O2,Myristic Acid Alkyne,,,447.345877538036,9.87745,37.5,0,-4.69727412986721,93.0763007856311,2M-H,68.2287749648307,55.0318921314198,3.87196350097565,5.18757629394835,0.0,0.0,0.0,0.0,16.4288338025733,16.233417807848,9.59936518468541,6.25672912597713
9.88_849.4959m/z,CSID10160053,C24H35N3O2Si,Ethyl [3-cyano-1-(3-{[dimethyl(2-methyl-2-propanyl)silyl]oxy}propyl)-4-(4-methylphenyl)-1H-pyrrol-2-yl]imidoformate,http://nonlinear.com/redirect/outbound?p=chemspider&param=10160053,,849.495931009785,9.87745,35.9,0,4.11457141309157,84.3935596875434,2M-H,19.0915661129743,16.8247884834131,148.210014103914,143.962090354409,169.553873549312,135.099281849453,232.30939821106,192.440058662362,30.6919393094397,31.4241722354144,301.074615885677,273.365539717254
9.89_354.1721m/z,1001800,C22H23N5O,"2-[4-(dimethylamino)phenyl]-N-(4-ethoxyphenyl)imidazo[1,2-a]pyrazin-3-amine",,,354.172141144796,9.89171666666667,35.1,0,-0.745240172532049,76.5197172785184,M-H2O-H,78.140447867954,193.541245346183,47.6007469687535,98.3393579779548,72.3655952883268,115.540927877724,35.1657833377335,61.311931933283,71.3352616790064,128.361411218304,65.6788482963912,93.3659213086778
9.91_301.2137m/z,1081933,C15H30N2O4,1-[4-(dimethylamino)-4-(2-methoxyethyl)piperidin-1-yl]-2-(2-methoxyethoxy)ethanone,,,301.213722093097,9.90598333333333,37.2,0,1.45944789690173,87.7885274963585,M-H,547.833543055785,469.176974663334,1105.25059352336,862.824365428058,0.0,0.0,0.0,0.0,0.0,0.0,1223.64621144608,1060.00391336778
9.91_753.4363m/z,1016470,C22H27N5O,2-(4-methoxyphenyl)-N-[2-(4-methylpiperazin-1-yl)ethyl]quinazolin-4-amine,,,753.436285535586,9.90598333333333,37.9,0,0.584469091960324,90.1178257947712,2M-H,118.689689463956,92.5996509696305,469.969916888194,427.023804425793,651.607181623829,543.046659231215,570.768903983749,485.130275669923,110.731226481253,115.862512856039,546.510983607201,496.959930844248
9.93_369.2013m/z,64852,C9H15NO3,PRIMA-1,,,369.201319834742,9.93453333333333,36.8,0,-4.83622929621178,89.6950961311723,2M-H,11.6080628633573,11.2010498642942,23.6506691242765,22.1893005371236,0.0,0.0,0.0,0.0,0.0,0.0,33.4686124920847,23.718366008094
9.95_414.3176m/z,CSID24660216,C30H43NO,1-[(8Z)-8-Heptadecen-1-yl]-2-methyl-9H-carbazol-3-ol,http://nonlinear.com/redirect/outbound?p=chemspider&param=24660216,,414.317637579433,9.94881666666667,37.4,13.3,2.33930027356441,76.597889154514,M-H2O-H,3199.28577756959,2540.29566967539,380.772618707202,290.959230950044,3253.45027112898,2593.95335567059,1255.04578446409,998.545458355125,2151.66830611584,1869.64134169719,1583.84700775165,1410.4587419915
9.99_484.3158m/z,264180,C23H43N5O6,Ile Leu Leu Gly Ala,,,484.315784906963,9.99163333333333,34.3,0.443,3.55891750852099,75.2295059348525,M-H,25.616733525552,18.3255055479283,13.3179931640582,11.6263427734384,37.1377394509529,25.4711689983366,11.7524999366618,8.18664757913169,5.97833251952949,11.3560791015651,11.1859133243512,11.2444122857322
10.01_550.2934m/z,CSID4593751,C28H45N3O6S,"N-[(benzyloxy)carbonyl]-L-leucyl-N-[(1E,3S)-5-methyl-1-(methylsulfonyl)hex-1-en-3-yl]-L-leucinamide",http://nonlinear.com/redirect/outbound?p=chemspider&param=4593751,,550.293366111125,10.0059,32.7,0,-4.10746405628383,68.1466953016225,M-H,16.4407653808394,13.4733276367078,10.1222630788578,9.6661945350004,23.1037862678206,18.819305475808,6.35506442742402,4.00314342975742,12.5440673828021,7.6492003202431,12.343810766935,8.58203113078946
10.01_600.2469m/z,986762,C33H34F3N6O3,IRAK inhibitor 4,,,600.246893534818,10.0059,35.7,0,0.461865618527864,79.0096728001161,M-H2O-H,10.7810019811127,25.3957329608701,6.47984967734854,19.8004149794552,20.1587544493317,37.1804809570268,4.203216671946,7.49497289182068,3.47922935668621,12.1259836854578,4.8085325956369,11.9387511313053
10.01_808.4951m/z,CSID24768924,C47H72NO8P,1-Eicosapentaenoyl-2-docosahexaenoyl-sn-glycero-3-phosphoethanolamine,http://nonlinear.com/redirect/outbound?p=chemspider&param=24768924,,808.495055164996,10.0059,34,0,3.43001670514177,74.1204073213489,M-H,995.701631320711,802.487039864523,544.754364804507,570.999705577616,1474.96100806467,1393.9552923443,506.251317998948,449.921182377867,524.397382703344,635.684890244794,636.728333235025,642.775825575079
10.10_989.5603m/z,1011616,C27H37N5O4,"2-[4-[2-(azepan-1-yl)-2-oxoethyl]piperazin-1-yl]-6-(2,2-dimethylpropanoylamino)quinoline-4-carboxylic acid",,,989.56030437266,10.0979833333333,36.6,0,-1.54312605276597,84.9433410403417,2M-H,224.132094515007,199.26355716171,932.151058887869,818.52761313737,330.981410367303,264.834754398091,1337.62565856157,1184.02514963483,80.8364595267025,99.1042127768098,445.880584150677,397.809785652991
