compound_name,formula,molecular_formula,source_compound_id,description,inchikey,rank_group,is_tied
"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",C7HBrClN3,C7HBrClN3,CSID67029161,"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",,1,False
trifluoroacetic acid,C2HF3O2,C2HF3O2,HMDB14118,trifluoroacetic acid,,1,False
Trifluoroacetic acid,C2HF3O2,C2HF3O2,CSID10239201,Trifluoroacetic acid,,2,False
Trifluoroacetic acid hydrate (1:1),C2H3F3O3,C2H3F3O3,CSID11392028,Trifluoroacetic acid hydrate (1:1),,1,False
"3,4-Diethynylthiophene",C8H4S,C8H4S,CSID13318556,"3,4-Diethynylthiophene",,2,True
"2,3-Diethynylthiophene",C8H4S,C8H4S,CSID13318562,"2,3-Diethynylthiophene",,2,True
"2,4-Diethynylthiophene",C8H4S,C8H4S,CSID24184240,"2,4-Diethynylthiophene",,2,True
"Pentaleno[1,2-b]thiirene",C8H4S,C8H4S,CSID67175533,"Pentaleno[1,2-b]thiirene",,2,True
TIMTEC-BB SBB008745,C8H4S,C8H4S,CSID9518978,TIMTEC-BB SBB008745,,2,True
"Tetrazolo[1,5-a]quinazoline",C8H5N5,C8H5N5,CSID15261328,"Tetrazolo[1,5-a]quinazoline",,1,True
"tetrazolo(1,5-c)quinazoline",C8H5N5,C8H5N5,CSID244782,"tetrazolo(1,5-c)quinazoline",,1,True
imidazopyridopyrimidine,C8H5N5,C8H5N5,CSID24777349,imidazopyridopyrimidine,,1,True
"1H-[1,2,3]Triazolo[4,5-h]quinazoline",C8H5N5,C8H5N5,CSID26996386,"1H-[1,2,3]Triazolo[4,5-h]quinazoline",,1,True
"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",C8H5N5,C8H5N5,CSID28580134,"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",,1,True
"1H-[1,2,3]Triazolo[4,5-f]phthalazine",C8H5N5,C8H5N5,CSID29321288,"1H-[1,2,3]Triazolo[4,5-f]phthalazine",,1,True
"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",C8H5N5,C8H5N5,CSID29781257,"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",,1,True
"3,3,4,4-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID60752240,"3,3,4,4-Pyrrolidinetetracarbonitrile",,1,True
"3H-Imidazo[4,5-f][1,2,3]benzotriazine",C8H5N5,C8H5N5,CSID67024098,"3H-Imidazo[4,5-f][1,2,3]benzotriazine",,1,True
"1,2,2,3-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID67025418,"1,2,2,3-Pyrrolidinetetracarbonitrile",,1,True
"7H-Imidazo[4,5-h][1,2,4]benzotriazine",C8H5N5,C8H5N5,CSID67026868,"7H-Imidazo[4,5-h][1,2,4]benzotriazine",,1,True
"Pyrido[2,3-d][1,2,3]triazolo[1,5-a]pyrimidine",C8H5N5,C8H5N5,CSID67028424,"Pyrido[2,3-d][1,2,3]triazolo[1,5-a]pyrimidine",,1,True
"1H-Imidazo[4,5-h][1,2,3]benzotriazine",C8H5N5,C8H5N5,CSID67037264,"1H-Imidazo[4,5-h][1,2,3]benzotriazine",,1,True
"[1,2,3]Triazolo[4′,5′:4,5]pyrido[1,2-c]pyrimidine",C8H5N5,C8H5N5,CSID67160795,"[1,2,3]Triazolo[4′,5′:4,5]pyrido[1,2-c]pyrimidine",,1,True
"4H-Pyrazolo[3′,4′:5,6]pyrido[3,2-d]pyrimidine",C8H5N5,C8H5N5,CSID67161964,"4H-Pyrazolo[3′,4′:5,6]pyrido[3,2-d]pyrimidine",,1,True
"1H-Pyrazolo[4′,3′:5,6]pyrido[4,3-d]pyrimidine",C8H5N5,C8H5N5,CSID67163177,"1H-Pyrazolo[4′,3′:5,6]pyrido[4,3-d]pyrimidine",,1,True
"Pyrazolo[1,5-a]pteridine",C8H5N5,C8H5N5,CSID67163911,"Pyrazolo[1,5-a]pteridine",,1,True
"4H-[1,2,3]Triazolo[4,5-g]quinoxaline",C8H5N5,C8H5N5,CSID67166312,"4H-[1,2,3]Triazolo[4,5-g]quinoxaline",,1,True
"9H-Pyrido[2′,3′:3,4]cyclopenta[1,2-e][1,2,3,4]tetrazine",C8H5N5,C8H5N5,CSID67168608,"9H-Pyrido[2′,3′:3,4]cyclopenta[1,2-e][1,2,3,4]tetrazine",,1,True
"Pyrazolo[3,4-d]pyrimido[1,2-a]pyrimidine",C8H5N5,C8H5N5,CSID67169896,"Pyrazolo[3,4-d]pyrimido[1,2-a]pyrimidine",,1,True
"Tetrazolo[5,1-b]quinazoline",C8H5N5,C8H5N5,CSID67170430,"Tetrazolo[5,1-b]quinazoline",,1,True
"Imidazo[1′,5′:1,2]pyrido[4,3-d][1,2,3]triazine",C8H5N5,C8H5N5,CSID67170646,"Imidazo[1′,5′:1,2]pyrido[4,3-d][1,2,3]triazine",,1,True
"Pyrido[2′,3′:3,4]pyrazolo[5,1-c][1,2,4]triazine",C8H5N5,C8H5N5,CSID67170739,"Pyrido[2′,3′:3,4]pyrazolo[5,1-c][1,2,4]triazine",,1,True
"Pyrido[3′,2′:4,5]imidazo[1,2-d][1,2,4]triazine",C8H5N5,C8H5N5,CSID67171607,"Pyrido[3′,2′:4,5]imidazo[1,2-d][1,2,4]triazine",,1,True
"2H-2,3,5,6,9-Pentaazabenzo[cd]azulene",C8H5N5,C8H5N5,CSID67176320,"2H-2,3,5,6,9-Pentaazabenzo[cd]azulene",,1,True
"1H-Pyrrolo[2′,3′:5,6]pyrazino[2,3-d]pyridazine",C8H5N5,C8H5N5,CSID67177072,"1H-Pyrrolo[2′,3′:5,6]pyrazino[2,3-d]pyridazine",,1,True
"Tetrazolo[1,5-a]quinoxaline",C8H5N5,C8H5N5,CSID8279119,"Tetrazolo[1,5-a]quinoxaline",,1,True
2-Azidoquinazoline,C8H5N5,C8H5N5,CSID9681330,2-Azidoquinazoline,,1,True
Hyrtinadine A,C20H14N4O2,C20H14N4O2,CSID17214309,Hyrtinadine A,,1,False
bilinic acid,C20H14N4O2,C20H14N4O2,CSID66739020,bilinic acid,,2,False
"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID10160812,"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
Morusignin D,C19H18O6,C19H18O6,CSID10219127,Morusignin D,,3,True
clauslactone F,C19H18O6,C19H18O6,CSID10242763,clauslactone F,,3,True
"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",C19H18O6,C19H18O6,CSID10421090,"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",,3,True
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,CSID109529,"5,6,7,8-Tetramethoxyflavone",,3,True
"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",C19H18O6,C19H18O6,CSID129307546,"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",,3,True
"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C19H18O6,C19H18O6,CSID135195,"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",,3,True
"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",C19H18O6,C19H18O6,CSID144827,"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",,3,True
"5,6,7,4′-Tetramethoxyisoflavone",C19H18O6,C19H18O6,CSID217358,"5,6,7,4′-Tetramethoxyisoflavone",,3,True
"(6aS,12aS)-2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",C19H18O6,C19H18O6,CSID2340962,"(6aS,12aS)-2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",,3,True
SCUTEFLORIN A,C19H18O6,C19H18O6,CSID24633354,SCUTEFLORIN A,,3,True
"3,8,9,10-Tetramethoxy-6H-[1]benzofuro[3,2-c]chromene",C19H18O6,C19H18O6,CSID24843067,"3,8,9,10-Tetramethoxy-6H-[1]benzofuro[3,2-c]chromene",,3,True
cerrosillin,C19H18O6,C19H18O6,CSID24843195,cerrosillin,,3,True
"2-(2,5-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24843212,"2-(2,5-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",,3,True
"5-Hydroxy-2-(4-hydroxyphenyl)-3,7-dimethoxy-6,8-dimethyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845349,"5-Hydroxy-2-(4-hydroxyphenyl)-3,7-dimethoxy-6,8-dimethyl-4H-chromen-4-one",,3,True
"5-Hydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)-6-methyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845352,"5-Hydroxy-3,7-dimethoxy-2-(4-methoxyphenyl)-6-methyl-4H-chromen-4-one",,3,True
"3,5,7,8-Tetramethoxy-2-phenyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID24845643,"3,5,7,8-Tetramethoxy-2-phenyl-4H-chromen-4-one",,3,True
"1-(1,3-Benzodioxol-5-yl)-3-(2,4-dimethoxyphenyl)-2-methyl-1,3-propanedione",C19H18O6,C19H18O6,CSID24846036,"1-(1,3-Benzodioxol-5-yl)-3-(2,4-dimethoxyphenyl)-2-methyl-1,3-propanedione",,3,True
"(2E)-2-(3,4-Dimethoxybenzylidene)-4,6-dimethoxy-1-benzofuran-3(2H)-one",C19H18O6,C19H18O6,CSID24846193,"(2E)-2-(3,4-Dimethoxybenzylidene)-4,6-dimethoxy-1-benzofuran-3(2H)-one",,3,True
(+)-sesamin monocatechol,C19H18O6,C19H18O6,CSID26394006,(+)-sesamin monocatechol,,3,True
"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",C19H18O6,C19H18O6,CSID278898,"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",,3,True
"4,11-Dihydroxy-6,9-dimethoxy-5,6,6a,12a-tetrahydro-12H-benzo[a]xanthen-12-one",C19H18O6,C19H18O6,CSID28283091,"4,11-Dihydroxy-6,9-dimethoxy-5,6,6a,12a-tetrahydro-12H-benzo[a]xanthen-12-one",,3,True
"(3S,4R)-4-(1,3-Benzodioxol-5-ylmethyl)-3-[hydroxy(4-hydroxyphenyl)methyl]dihydro-2(3H)-furanone",C19H18O6,C19H18O6,CSID28284104,"(3S,4R)-4-(1,3-Benzodioxol-5-ylmethyl)-3-[hydroxy(4-hydroxyphenyl)methyl]dihydro-2(3H)-furanone",,3,True
"1,2,5-Trihydroxy-3-methoxy-4-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID28284133,"1,2,5-Trihydroxy-3-methoxy-4-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"7,10-Dihydroxy-12-methoxy-2,2-dimethyl-3,4-dihydro-2H,6H-pyrano[3,2-b]xanthen-6-one",C19H18O6,C19H18O6,CSID28285755,"7,10-Dihydroxy-12-methoxy-2,2-dimethyl-3,4-dihydro-2H,6H-pyrano[3,2-b]xanthen-6-one",,3,True
"1,3,5-Trihydroxy-6-methoxy-7-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID28285830,"1,3,5-Trihydroxy-6-methoxy-7-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"2,4,8-Trihydroxy-3-methoxy-1-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID28286496,"2,4,8-Trihydroxy-3-methoxy-1-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"(3E)-3-(3-Hydroxy-4-methoxybenzylidene)-6,7-dimethoxy-2,3-dihydro-4H-chromen-4-one",C19H18O6,C19H18O6,CSID28286867,"(3E)-3-(3-Hydroxy-4-methoxybenzylidene)-6,7-dimethoxy-2,3-dihydro-4H-chromen-4-one",,3,True
"2-(3,5-Dihydroxyphenyl)-7,7-dimethyl-6,7-dihydro-5H-furo[3,2-g]chromene-5,6-diol",C19H18O6,C19H18O6,CSID28287269,"2-(3,5-Dihydroxyphenyl)-7,7-dimethyl-6,7-dihydro-5H-furo[3,2-g]chromene-5,6-diol",,3,True
"(3E,3aS,4S,8bS)-4-Hydroxy-7,8-dimethyl-3-{[(4-methyl-5-oxo-2,5-dihydro-2-furanyl)oxy]methylene}-3,3a,4,8b-tetrahydro-2H-indeno[1,2-b]furan-2-one",C19H18O6,C19H18O6,CSID28288221,"(3E,3aS,4S,8bS)-4-Hydroxy-7,8-dimethyl-3-{[(4-methyl-5-oxo-2,5-dihydro-2-furanyl)oxy]methylene}-3,3a,4,8b-tetrahydro-2H-indeno[1,2-b]furan-2-one",,3,True
SCUTEFLORIN A,C19H18O6,C19H18O6,CSID28288246,SCUTEFLORIN A,,3,True
"1,3,7-Trihydroxy-6-methoxy-4-(2-methyl-3-buten-2-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID28288601,"1,3,7-Trihydroxy-6-methoxy-4-(2-methyl-3-buten-2-yl)-9H-xanthen-9-one",,3,True
"1,3,5-Trihydroxy-4-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID28289536,"1,3,5-Trihydroxy-4-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"1,5,8-Trihydroxy-3-methoxy-2-prenylxanthone",C19H18O6,C19H18O6,CSID28295232,"1,5,8-Trihydroxy-3-methoxy-2-prenylxanthone",,3,True
"1,4,6-Trihydroxy-5-methoxy-7-prenylxanthone",C19H18O6,C19H18O6,CSID28424480,"1,4,6-Trihydroxy-5-methoxy-7-prenylxanthone",,3,True
2-{[1-(Benzyloxy)-1-oxo-2-propanyl]oxy}-2-oxoethyl benzoate,C19H18O6,C19H18O6,CSID28605421,2-{[1-(Benzyloxy)-1-oxo-2-propanyl]oxy}-2-oxoethyl benzoate,,3,True
3-[2-(Benzyloxy)-2-oxoethoxy]-3-oxopropyl benzoate,C19H18O6,C19H18O6,CSID28605424,3-[2-(Benzyloxy)-2-oxoethoxy]-3-oxopropyl benzoate,,3,True
"(3R,4aR)-3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",C19H18O6,C19H18O6,CSID30791353,"(3R,4aR)-3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",,3,True
garcimangostanol,C19H18O6,C19H18O6,CSID30830023,garcimangostanol,,3,True
"3′,4′,7,8-TETRAMETHOXYFLAVONE",C19H18O6,C19H18O6,CSID3250580,"3′,4′,7,8-TETRAMETHOXYFLAVONE",,3,True
"4-[(1S,4S)-4-(1,3-Benzodioxol-5-yl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-1,2-benzenediol",C19H18O6,C19H18O6,CSID35031653,"4-[(1S,4S)-4-(1,3-Benzodioxol-5-yl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-1,2-benzenediol",,3,True
"3,5,6,7-Tetramethoxy-2-phenyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID414290,"3,5,6,7-Tetramethoxy-2-phenyl-4H-chromen-4-one",,3,True
Methylophiopogonanone A,C19H18O6,C19H18O6,CSID4477971,Methylophiopogonanone A,,3,True
"5-Hydroxy-7-methyl-2-(3,4,5-trimethoxyphenyl)-4H-chromen-4-one",C19H18O6,C19H18O6,CSID4529746,"5-Hydroxy-7-methyl-2-(3,4,5-trimethoxyphenyl)-4H-chromen-4-one",,3,True
Caledonixanthone D,C19H18O6,C19H18O6,CSID4576722,Caledonixanthone D,,3,True
6-DEMETHOXYTANGERETIN,C19H18O6,C19H18O6,CSID547067,6-DEMETHOXYTANGERETIN,,3,True
ZAPOTIN,C19H18O6,C19H18O6,CSID547068,ZAPOTIN,,3,True
TETRAMETHYLKAEMPFEROL,C19H18O6,C19H18O6,CSID548014,TETRAMETHYLKAEMPFEROL,,3,True
Tetramethoxyluteolin,C19H18O6,C19H18O6,CSID548072,Tetramethoxyluteolin,,3,True
"Flavone, 3,3′,4′,7-tetramethoxy-",C19H18O6,C19H18O6,CSID548073,"Flavone, 3,3′,4′,7-tetramethoxy-",,3,True
"Isoflavone, 3′,4′,6,7-tetramethoxy-",C19H18O6,C19H18O6,CSID548077,"Isoflavone, 3′,4′,6,7-tetramethoxy-",,3,True
"(3R,4aR,12bR)-3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",C19H18O6,C19H18O6,CSID58837469,"(3R,4aR,12bR)-3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",,3,True
6-Hydroxy-2-[2-(3-hydroxy-4-methoxyphenyl)ethyl]-7-methoxy-4H-chromen-4-one,C19H18O6,C19H18O6,CSID65323739,6-Hydroxy-2-[2-(3-hydroxy-4-methoxyphenyl)ethyl]-7-methoxy-4H-chromen-4-one,,3,True
7-Ethoxy-5-hydroxy-6-methoxy-3-(4-methoxyphenyl)-4H-chromen-4-one,C19H18O6,C19H18O6,CSID67164574,7-Ethoxy-5-hydroxy-6-methoxy-3-(4-methoxyphenyl)-4H-chromen-4-one,,3,True
"2,6,8-Trihydroxy-3-methoxy-1-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID67171808,"2,6,8-Trihydroxy-3-methoxy-1-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"5-Hydroxy-7-methyl-4-(3,4,5-trimethoxyphenyl)-2H-chromen-2-one",C19H18O6,C19H18O6,CSID67173177,"5-Hydroxy-7-methyl-4-(3,4,5-trimethoxyphenyl)-2H-chromen-2-one",,3,True
"3-(3,4-Dimethoxyphenyl)-5-hydroxy-7-methoxy-8-methyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID74852605,"3-(3,4-Dimethoxyphenyl)-5-hydroxy-7-methoxy-8-methyl-4H-chromen-4-one",,3,True
"7-Methoxy-2-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",C19H18O6,C19H18O6,CSID8150228,"7-Methoxy-2-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",,3,True
"1,2,6-Trihydroxy-5-methoxy-7-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID8218554,"1,2,6-Trihydroxy-5-methoxy-7-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"(2E)-3-(1,3-benzodioxol-5-yl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",C19H18O6,C19H18O6,CSID8241491,"(2E)-3-(1,3-benzodioxol-5-yl)-1-(2,4,6-trimethoxyphenyl)prop-2-en-1-one",,3,True
"3,6,8-trihydroxy-2-methoxy-1-(3-methylbut-2-en-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID8580529,"3,6,8-trihydroxy-2-methoxy-1-(3-methylbut-2-en-1-yl)-9H-xanthen-9-one",,3,True
8-Hydroxy-7-{[(2E)-3-methyl-4-(4-methylene-5-oxotetrahydro-2-furanyl)-2-buten-1-yl]oxy}-2H-chromen-2-one,C19H18O6,C19H18O6,CSID8625448,8-Hydroxy-7-{[(2E)-3-methyl-4-(4-methylene-5-oxotetrahydro-2-furanyl)-2-buten-1-yl]oxy}-2H-chromen-2-one,,3,True
Tetramethylscutellarein,C19H18O6,C19H18O6,CSID86762,Tetramethylscutellarein,,3,True
"1,5,6-Trihydroxy-3-methoxy-4-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID8935022,"1,5,6-Trihydroxy-3-methoxy-4-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",,3,True
"2-(3,4-Dimethoxyphenyl)-5,7-dihydroxy-6,8-dimethyl-4H-chromen-4-one",C19H18O6,C19H18O6,CSID9177569,"2-(3,4-Dimethoxyphenyl)-5,7-dihydroxy-6,8-dimethyl-4H-chromen-4-one",,3,True
"4,6,3′,4′-tetramethoxyaurone",C19H18O6,C19H18O6,CSID9362005,"4,6,3′,4′-tetramethoxyaurone",,3,True
vieillardixanthone,C19H18O6,C19H18O6,CSID9442871,vieillardixanthone,,3,True
ISOTECTORIGENIN TRIMETHYL ETHER,C19H18O6,C19H18O6,43931,ISOTECTORIGENIN TRIMETHYL ETHER,,4,True
Zapotin,C19H18O6,C19H18O6,HMDB29461,Zapotin,,4,True
"4',5,6,7-Tetramethoxyflavone",C19H18O6,C19H18O6,HMDB30575,"4',5,6,7-Tetramethoxyflavone",,4,True
Zapotin,C19H18O6,C19H18O6,48527,Zapotin,,5,True
"Scutellarein 5,6,7,4'-tetramethyl ether",C19H18O6,C19H18O6,49592,"Scutellarein 5,6,7,4'-tetramethyl ether",,5,True
"5,6,7-trimethoxy-2-(4-methoxyphenyl)chromen-4-one",C19H18O6,C19H18O6,96118,"5,6,7-trimethoxy-2-(4-methoxyphenyl)chromen-4-one",,5,True
"1,4,6-Trihydroxy-5-methoxy-7-prenylxanthone",C19H18O6,C19H18O6,HMDB31289,"1,4,6-Trihydroxy-5-methoxy-7-prenylxanthone",,5,True
Dulxanthone A,C19H18O6,C19H18O6,HMDB31992,Dulxanthone A,,5,True
Dulxanthone D,C19H18O6,C19H18O6,HMDB32736,Dulxanthone D,,5,True
"1,5,8-Trihydroxy-3-methyl-2-prenylxanthone",C19H18O6,C19H18O6,HMDB34182,"1,5,8-Trihydroxy-3-methyl-2-prenylxanthone",,5,True
"7,2',4',5'-Tetramethoxyisoflavone",C19H18O6,C19H18O6,LMPK12050091,"7,2',4',5'-Tetramethoxyisoflavone",,5,True
"6,7,3',4'-Tetramethoxyisoflavone",C19H18O6,C19H18O6,LMPK12050117,"6,7,3',4'-Tetramethoxyisoflavone",,5,True
Munduserone,C19H18O6,C19H18O6,LMPK12060021,Munduserone,,5,True
Bryacarpene 3,C19H18O6,C19H18O6,LMPK12070156,Bryacarpene 3,,5,True
"7,2',4',5'-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12110054,"7,2',4',5'-Tetramethoxyflavone",,5,True
Zapotin,C19H18O6,C19H18O6,LMPK12110091,Zapotin,,5,True
Cerrosillin,C19H18O6,C19H18O6,LMPK12110105,Cerrosillin,,5,True
"5,7,2',5'-tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12110133,"5,7,2',5'-tetramethoxyflavone",,5,True
"5,7-Dihydroxy-3',4'-dimethoxy-6,8-dimethylflavone",C19H18O6,C19H18O6,LMPK12110830,"5,7-Dihydroxy-3',4'-dimethoxy-6,8-dimethylflavone",,5,True
"Norartocarpetin 5,7,2',4'-tetramethyl ether",C19H18O6,C19H18O6,LMPK12110944,"Norartocarpetin 5,7,2',4'-tetramethyl ether",,5,True
"Luteolin 5,7,3',4'-tetramethyl ether",C19H18O6,C19H18O6,LMPK12111074,"Luteolin 5,7,3',4'-tetramethyl ether",,5,True
"Scutellarein 5,6,7,4'-tetramethyl ether",C19H18O6,C19H18O6,LMPK12111167,"Scutellarein 5,6,7,4'-tetramethyl ether",,5,True
"4',5,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12111369,"4',5,7,8-Tetramethoxyflavone",,5,True
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12111434,"5,6,7,8-Tetramethoxyflavone",,5,True
Fisetin tetramethyl ether,C19H18O6,C19H18O6,LMPK12111571,Fisetin tetramethyl ether,,5,True
"6,8-Di-C-methylkaempferol 3,7-dimethyl ether",C19H18O6,C19H18O6,LMPK12112686,"6,8-Di-C-methylkaempferol 3,7-dimethyl ether",,5,True
8-Desmethylkalmiatin,C19H18O6,C19H18O6,LMPK12112695,8-Desmethylkalmiatin,,5,True
"3,5,7,4'-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12112699,"3,5,7,4'-Tetramethoxyflavone",,5,True
"3,5,6,7-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12112810,"3,5,6,7-Tetramethoxyflavone",,5,True
"3,5,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,LMPK12113098,"3,5,7,8-Tetramethoxyflavone",,5,True
"3,4-Methylenedioxy-2',4',6'-trimethoxychalcone",C19H18O6,C19H18O6,LMPK12120325,"3,4-Methylenedioxy-2',4',6'-trimethoxychalcone",,5,True
Tinosporinone,C19H18O6,C19H18O6,LMPK12120384,Tinosporinone,,5,True
"4,6,3',4'-Tetramethoxyaurone",C19H18O6,C19H18O6,LMPK12130052,"4,6,3',4'-Tetramethoxyaurone",,5,True
"2-ethyl-5-(5-quinolin-2-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",C20H14N4O2,C20H14N4O2,1002999,"2-ethyl-5-(5-quinolin-2-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",,6,True
"2-ethyl-5-(5-isoquinolin-1-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",C20H14N4O2,C20H14N4O2,1010196,"2-ethyl-5-(5-isoquinolin-1-yl-1,2,4-oxadiazol-3-yl)-1,3-benzoxazole",,6,True
"7-(1-benzofuran-2-yl)-2-(2-methoxyphenyl)-[1,2,4]triazolo[1,5-a]pyrimidine",C20H14N4O2,C20H14N4O2,1099047,"7-(1-benzofuran-2-yl)-2-(2-methoxyphenyl)-[1,2,4]triazolo[1,5-a]pyrimidine",,7,False
N-(4-Biphenylyl)-6-nitro-4-quinazolinamine,C20H14N4O2,C20H14N4O2,CSID13077920,N-(4-Biphenylyl)-6-nitro-4-quinazolinamine,,8,True
"N,N′-Di(8-quinolinyl)ethanediamide",C20H14N4O2,C20H14N4O2,CSID2109725,"N,N′-Di(8-quinolinyl)ethanediamide",,8,True
"2,2′-(1,4-Phenylene)bis(7H-pyrano[2,3-d]pyrimidine)",C20H14N4O2,C20H14N4O2,CSID67162179,"2,2′-(1,4-Phenylene)bis(7H-pyrano[2,3-d]pyrimidine)",,8,True
"3-(4-Nitrophenyl)-4-phenyl-1,8-naphthyridin-2-amine",C20H14N4O2,C20H14N4O2,CSID67170650,"3-(4-Nitrophenyl)-4-phenyl-1,8-naphthyridin-2-amine",,8,True
"2,3-Porphyrindiol",C20H14N4O2,C20H14N4O2,CSID67492218,"2,3-Porphyrindiol",,8,True
"6-(1,3-Dithiepan-2-yl)-2-phenylchromane",C20H22OS2,C20H22OS2,CSID67166081,"6-(1,3-Dithiepan-2-yl)-2-phenylchromane",,9,False
Gibberellin A59,C19H20O7,C19H20O7,HMDB35051,Gibberellin A59,,1,True
Heteroflavanone A,C19H20O7,C19H20O7,HMDB40910,Heteroflavanone A,,1,True
Edulisin IV,C19H20O7,C19H20O7,HMDB41196,Edulisin IV,,1,True
"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",C19H20O7,C19H20O7,985211,"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",,2,True
