pubchem_cid,search_method,original_identifier,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChI,InChIKey,IUPACName,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Volume3D,Fingerprint2D,Title,synonyms,synonym_count,classification,pubchem_description,extracted_at
122821,name,heminordihydroguaiaretic acid,122821,C19H24O4,316.4,C[C@H](CC1=CC(=C(C=C1)O)O)[C@@H](C)CC2=CC(=C(C=C2)O)OC,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)OC,"InChI=1S/C19H24O4/c1-12(8-14-4-6-16(20)18(22)10-14)13(2)9-15-5-7-17(21)19(11-15)23-3/h4-7,10-13,20-22H,8-9H2,1-3H3/t12-,13+/m1/s1",QKHJBWUGXMKHAK-OLZOCXBDSA-N,"4-[(2R,3S)-4-(4-hydroxy-3-methoxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol",4.6,316.16745924,316.16745924,69.9,348,0,3,4,6,23,255.8,AAADceB4OAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAGgAACAAADQSAmAIyBoAABgCAAiBCAAACCAAgIAAIiAAGiIgNJiKGMRqAcCMkwBELuAeAwPAOoAABAAAAQABAAAIAAACAAAAAAAAAAA==,Heminordihydroguaiaretic acid,"[""Hemi-ndga"", ""Heminordihydroguaiaretic acid"", ""Mal.4"", ""3'-O-Methyl-NDGA"", ""Malachi 4 5-6"", ""54473-24-4"", ""RefChem:922824"", ""3'-O-Methyl-nordihydroguaiaretic acid"", ""4-[(2r,3s)-4-(4-hydroxy-3-methoxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol"", ""4-[(2R,3S)-4-(4-hydroxy-3-methoxy-phenyl)-2,3-dimethyl-butyl]benzene-1,2-diol"", ""DTXSID60969644"", ""QKHJBWUGXMKHAK-OLZOCXBDSA-N"", ""3-O'-methyl-NDGA"", ""CHEMBL400065"", ""SCHEMBL13309003""]",15,"{""PubChem"": [{""StringWithMarkup"": {""String"": ""Chemical-Organism Co-Occurrences in Literature""}}, {""StringWithMarkup"": {""String"": ""AIDS Number""}}, {""StringWithMarkup"": {""String"": ""NIAID ChemDB""}}], ""ChemIDplus"": [{""StringWithMarkup"": {""String"": ""PubMed""}}, {""StringWithMarkup"": {""String"": ""PubMed Central""}}, {""StringWithMarkup"": {""String"": ""Registry Number""}}], ""Cooperative Patent Classification (CPC)"": [{""StringWithMarkup"": {""String"": ""A61K31/7034 - attached to a carbocyclic compound, e.g. phloridzin""}}, {""StringWithMarkup"": {""String"": ""A61K31/7028 - Compounds having saccharide radicals attached to non-saccharide compounds by glycosidic linkages""}}, {""StringWithMarkup"": {""String"": ""A61K31/70 - Carbohydrates; Sugars; Derivatives thereof""}}], ""EPA DSSTox"": [{""StringWithMarkup"": {""String"": "" ALL""}}, {""StringWithMarkup"": {""String"": ""[METABWKBEN] Metabolomics Workbench Metabolite Database""}}, {""StringWithMarkup"": {""String"": ""[METABWKBEN] Metabolomics Workbench Metabolite Database""}}], ""LOTUS - the natural products occurrence database"": [{""StringWithMarkup"": {""String"": ""Dibenzylbutane lignans""}}, {""StringWithMarkup"": {""String"": ""Lignans""}}, {""StringWithMarkup"": {""String"": ""Shikimates and Phenylpropanoids""}}], ""Medical Subject Headings (MeSH)"": [{""StringWithMarkup"": {""String"": ""Masoprocol""}}, {""StringWithMarkup"": {""String"": ""Lignans""}}, {""StringWithMarkup"": {""String"": ""Benzyl Compounds""}}], ""MolGenie"": [{""StringWithMarkup"": {""String"": ""drug like compounds""}}, {""StringWithMarkup"": {""String"": ""chiral compounds""}}, {""StringWithMarkup"": {""String"": ""chiral compounds""}}], ""WIPO"": [{""StringWithMarkup"": {""String"": ""C12Q - MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS; COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES""}}, {""StringWithMarkup"": {""String"": ""C12 - BIOCHEMISTRY; BEER; SPIRITS; WINE; VINEGAR; MICROBIOLOGY; ENZYMOLOGY; MUTATION OR GENETIC ENGINEERING""}}, {""StringWithMarkup"": {""String"": ""A61K47/50 - the non-active ingredient being chemically bound to the active ingredient, e.g. polymer-drug conjugates""}}]}",,2026-05-04T23:24:30.069186
53167904,name,"N-(5-chloro-2-methoxyphenyl)-5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-2-carboxamide",53167904,C15H16ClN3O2,305.76,COC1=C(C=C(C=C1)Cl)NC(=O)C2=CN3CCCCC3=N2,COC1=C(C=C(C=C1)Cl)NC(=O)C2=CN3CCCCC3=N2,"InChI=1S/C15H16ClN3O2/c1-21-13-6-5-10(16)8-11(13)18-15(20)12-9-19-7-3-2-4-14(19)17-12/h5-6,8-9H,2-4,7H2,1H3,(H,18,20)",UWGWSXHCENHNFG-UHFFFAOYSA-N,"N-(5-chloro-2-methoxyphenyl)-5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-2-carboxamide",2.5,305.0931045,305.0931045,56.2,382,0,1,3,3,21,228.0,AAADceBzMAAEAAAAAAAAAAAAAAAAAWAAAAA8QAAAAAAAAFgBwAAAHgIQAAAACA7BlyY/1pfMFACoATd3dACCiC03N6AJ2AG/fsiObirF+7uVMKhs1BPY6OeQQAAAACAAAAIAEAAAQAAABAAgAAAAAAAAAA==,"N-(5-chloro-2-methoxyphenyl)-5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-2-carboxamide","[""AKOS021845808"", ""N-(5-chloro-2-methoxyphenyl)-5,6,7,8-tetrahydroimidazo[1,2-a]pyridine-2-carboxamide""]",2,"{""PubChem"": [{""StringWithMarkup"": {""String"": ""Biological Test Results""}}, {""StringWithMarkup"": {""String"": ""Consolidated References""}}, {""StringWithMarkup"": {""String"": ""Literature""}}]}",,2026-05-04T23:24:34.432593
14849489,formula,Gold(1+) thiocyanate,14849489,CAuNS,255.05,C(#N)[S-].[Au+],C(#N)[S-].[Au+],InChI=1S/CHNS.Au/c2-1-3;/h3H;/q;+1/p-1,RQVOBHDSEHUCDG-UHFFFAOYSA-M,gold(1+) thiocyanate,,254.941715,254.941715,24.8,34,0,0,2,0,4,,AAADcQACAABAAAAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAQAAAAAAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,Gold(i) thiocyanate,"[""gold(i) thiocyanate"", ""SCHEMBL6577133""]",2,"{""PubChem"": [{""StringWithMarkup"": {""String"": ""Chemical Co-Occurrences in Patents""}}, {""StringWithMarkup"": {""String"": ""Chemical-Disease Co-Occurrences in Patents""}}, {""StringWithMarkup"": {""String"": ""Chemical-Organism Co-Occurrences in Patents""}}], ""Cooperative Patent Classification (CPC)"": [{""StringWithMarkup"": {""String"": ""H10K71/00 - Manufacture or treatment; Constructional details""}}, {""StringWithMarkup"": {""String"": ""H10K - ORGANIC ELECTRIC SOLID-STATE DEVICES""}}, {""StringWithMarkup"": {""String"": ""H10 - SEMICONDUCTOR DEVICES; ELECTRIC SOLID-STATE DEVICES NOT OTHERWISE PROVIDED FOR""}}], ""WIPO"": [{""StringWithMarkup"": {""String"": ""H05K3/24 - Reinforcing of the conductive pattern""}}, {""StringWithMarkup"": {""String"": ""H05K3/22 - Secondary treatment of printed circuits""}}, {""StringWithMarkup"": {""String"": ""H05K9/00 - Screening of apparatus or components against electric or magnetic fields""}}]}",,2026-05-04T23:24:41.247197
135964587,formula,7-[[5-(3-methoxyphenyl)-1H-pyrazol-4-yl]methyl]-7-azaspiro[3.5]nonan-3-ol,135964587,C19H24N3O2+,326.4,C[N+]1(CCN(CC1)/N=C\C2=CC(=C(C=C2)O)O)CC3=CC=CC=C3,C[N+]1(CCN(CC1)N=CC2=CC(=C(C=C2)O)O)CC3=CC=CC=C3,"InChI=1S/C19H23N3O2/c1-22(15-16-5-3-2-4-6-16)11-9-21(10-12-22)20-14-17-7-8-18(23)19(24)13-17/h2-8,13-14H,9-12,15H2,1H3,(H-,20,23,24)/p+1",MNQWTTPZOBFZBW-UHFFFAOYSA-O,"4-[(Z)-(4-benzyl-4-methylpiperazin-4-ium-1-yl)iminomethyl]benzene-1,2-diol",2.7,326.18685202,326.18685202,56.1,415,1,2,4,4,24,260.6,AAADceB7MAAAAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAAABQAAAHgAICAAADATBmAQyBoMAAgCgAjBjAACSAAAgIAAYiAAujJgJZqKCkROUcAlkyBGJmAeQwBAOIAABAAAAQABAAAIAAACAAAAAAAAAAA==,"4-[(Z)-(4-benzyl-4-methyl-piperazin-4-ium-1-yl)iminomethyl]benzene-1,2-diol","[""4-[(Z)-(4-benzyl-4-methyl-piperazin-4-ium-1-yl)iminomethyl]benzene-1,2-diol"", ""Piperazinium, 4-[[(1Z)-(3,4-dihydroxyphenyl)methylene]amino]-1-methyl-1-(phenylmethyl)-""]",2,"{""PubChem"": [{""StringWithMarkup"": {""String"": ""Names and Identifiers""}}, {""StringWithMarkup"": {""String"": ""NIAID ChemDB""}}, {""StringWithMarkup"": {""String"": ""Information Sources""}}]}",,2026-05-04T23:24:46.924015
13967,formula,[4-(2-methoxyethyl)piperidin-1-yl]-(3-phenyl-1H-pyrazol-5-yl)methanone,13967,C18H22N3O2+,312.4,C[N+](C)(CC(=O)NC1=CC=CC=C1)CC(=O)NC2=CC=CC=C2,C[N+](C)(CC(=O)NC1=CC=CC=C1)CC(=O)NC2=CC=CC=C2,"InChI=1S/C18H21N3O2/c1-21(2,13-17(22)19-15-9-5-3-6-10-15)14-18(23)20-16-11-7-4-8-12-16/h3-12H,13-14H2,1-2H3,(H-,19,20,22,23)/p+1",MPOXTHSNJVUPKR-UHFFFAOYSA-O,bis(2-anilino-2-oxoethyl)-dimethylazanium,2.1,312.17120195,312.17120195,58.2,361,1,2,2,6,23,251.5,AAADceB7MAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgAQAAAACAjBkAQywIPAAACIACVSUACCAAAhAgAIiACIZIgIYCLAkbGUIAhglADIyAcQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,Carcainium,"[""Carcainium"", ""Carcainium ion"", ""Carcainium cation"", ""UNII-4T82CRD6TM"", ""4T82CRD6TM"", ""Dimethylbis((phenylcarbamoyl)methyl)ammonium"", ""15272-69-2"", ""DTXSID90165112"", ""ETHANAMINIUM, N,N-DIMETHYL-2-OXO-N-(2-OXO-2-(PHENYLAMINO)ETHYL)-2-(PHENYLAMINO)-"", ""RefChem:123690"", ""DTXCID5087603"", ""CHEMBL1180484"", ""SCHEMBL12309044"", ""BDBM50225700"", ""Q27260463""]",15,"{""PubChem"": [{""StringWithMarkup"": {""String"": ""MolGenie""}}, {""StringWithMarkup"": {""String"": ""MolGenie Organic Chemistry Ontology""}}, {""StringWithMarkup"": {""String"": ""Chemical-Organism Co-Occurrences in Literature""}}], ""ChemIDplus"": [{""StringWithMarkup"": {""String"": ""Registry Number""}}, {""StringWithMarkup"": {""String"": ""USA.gov""}}, {""StringWithMarkup"": {""String"": ""FDA SRS""}}], ""Cooperative Patent Classification (CPC)"": [{""StringWithMarkup"": {""String"": ""Y10T428/24372 - Particulate matter""}}, {""StringWithMarkup"": {""String"": ""A61F13/01021 - characterised by the structure of the dressing""}}, {""StringWithMarkup"": {""String"": ""A61F13/01 - Non-adhesive bandages or dressings""}}], ""EPA DSSTox"": [{""StringWithMarkup"": {""String"": ""[FDAUNII0421] LIST: FDA UNII List April 12th 2021 Download""}}, {""StringWithMarkup"": {""String"": ""LIST""}}, {""StringWithMarkup"": {""String"": ""[FDAUNII0421] LIST: FDA UNII List April 12th 2021 Download""}}], ""MolGenie"": [{""StringWithMarkup"": {""String"": ""simple organic compound scaffolds""}}, {""StringWithMarkup"": {""String"": ""charged compounds""}}, {""StringWithMarkup"": {""String"": ""charged compounds""}}], ""NCI Thesaurus (NCIt)"": [{""StringWithMarkup"": {""String"": ""Agent Affecting Cardiovascular System""}}, {""StringWithMarkup"": {""String"": ""Pharmacologic Substance""}}, {""StringWithMarkup"": {""String"": ""Drug, Food, Chemical or Biomedical Material""}}], ""WIPO"": [{""StringWithMarkup"": {""String"": ""C07D239/24 - having three or more double bonds between ring members or between ring members and non-ring members""}}, {""StringWithMarkup"": {""String"": ""C07D239/02 - not condensed with other rings""}}, {""StringWithMarkup"": {""String"": ""C07D239/00 - Heterocyclic compounds containing 1,3-diazine or hydrogenated 1,3-diazine rings""}}]}",,2026-05-04T23:24:53.399027
