compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"1,6-Dimethyl-1H-indazole-5-boronic acid",C9H11BN2O2,C9H11BN2O2,CSID26327791,"1,6-Dimethyl-1H-indazole-5-boronic acid",4,0.12067779151541844
"(1,5-Dimethyl-1H-indazol-4-yl)boronic acid",C9H11BN2O2,C9H11BN2O2,CSID26327792,"(1,5-Dimethyl-1H-indazol-4-yl)boronic acid",5,0.12067779151541844
Eupachinilide H,C20H28O7,C20H28O7,CSID10188989,Eupachinilide H,1,0.010743959313452758
Melnerin A,C20H28O7,C20H28O7,CSID10229722,Melnerin A,2,0.010743959313452758
"(1aR,3S,4S,5aR,8aS,9R)-3,4-Dihydroxy-4,10a-dimethyl-8-methylene-7-oxododecahydrooxireno[5,6]cyclodeca[1,2-b]furan-9-yl (2Z)-2-methyl-2-butenoate",C20H28O7,C20H28O7,CSID59696379,"(1aR,3S,4S,5aR,8aS,9R)-3,4-Dihydroxy-4,10a-dimethyl-8-methylene-7-oxododecahydrooxireno[5,6]cyclodeca[1,2-b]furan-9-yl (2Z)-2-methyl-2-butenoate",3,0.010743959313452758
"(1aR,3S,4S,5aR,8aS,9R)-3-Hydroxy-4-(hydroxymethyl)-10a-methyl-8-methylene-7-oxododecahydrooxireno[5,6]cyclodeca[1,2-b]furan-9-yl (2Z)-2-methyl-2-butenoate",C20H28O7,C20H28O7,CSID59696785,"(1aR,3S,4S,5aR,8aS,9R)-3-Hydroxy-4-(hydroxymethyl)-10a-methyl-8-methylene-7-oxododecahydrooxireno[5,6]cyclodeca[1,2-b]furan-9-yl (2Z)-2-methyl-2-butenoate",4,0.010743959313452758
,C21H24N4O3,C21H24N4O3,1009412,,5,0.010712143051504329
pro-trp-pro,C21H26N4O4,C21H26N4O4,CSID16574123,pro-trp-pro,1,0.0322491289638084
pro-pro-trp,C21H26N4O4,C21H26N4O4,CSID16574066,pro-pro-trp,2,0.031798038920765236
trp-pro-pro,C21H26N4O4,C21H26N4O4,CSID16575240,trp-pro-pro,3,0.030969638519820566
"4-{[(3E,6S,15S,16R)-15-Hydroxy-16-methyl-2,5-dioxooxacyclohexadec-3-en-6-yl]oxy}-4-oxobutanoic acid",C20H30O8,C20H30O8,CSID78438930,"4-{[(3E,6S,15S,16R)-15-Hydroxy-16-methyl-2,5-dioxooxacyclohexadec-3-en-6-yl]oxy}-4-oxobutanoic acid",4,0.03081097906822951
"4-{[(3E,6S,14R,16R)-14-Hydroxy-16-methyl-2,5-dioxooxacyclohexadec-3-en-6-yl]oxy}-4-oxobutanoic acid",C20H30O8,C20H30O8,CSID115267020,"4-{[(3E,6S,14R,16R)-14-Hydroxy-16-methyl-2,5-dioxooxacyclohexadec-3-en-6-yl]oxy}-4-oxobutanoic acid",5,0.0308080583104289
"Sodium (11β,20E)-11,17,21-trihydroxy-3-oxopregna-4,20-dien-20-olate",C21H29NaO5,C21H29NaO5,CSID67156366,"Sodium (11β,20E)-11,17,21-trihydroxy-3-oxopregna-4,20-dien-20-olate",1,0.3682826669577418
ethyl 4-[4-amino-5-(benzylcarbamoyl)pyrimidin-2-yl]piperazine-1-carboxylate,C19H24N6O3,C19H24N6O3,995974,ethyl 4-[4-amino-5-(benzylcarbamoyl)pyrimidin-2-yl]piperazine-1-carboxylate,2,0.32382975024711763
,C21H26N3O4,C21H26N3O4,1080873,,3,0.3078875827951405
lys-ile-ile-lys,C24H48N6O5,C24H48N6O5,CSID16667587,lys-ile-ile-lys,1,0.04210650206361973
lys-ile-leu-lys,C24H48N6O5,C24H48N6O5,CSID16667607,lys-ile-leu-lys,2,0.04210650206361973
lys-ile-lys-ile,C24H48N6O5,C24H48N6O5,CSID16667624,lys-ile-lys-ile,3,0.04210650206361973
lys-ile-lys-leu,C24H48N6O5,C24H48N6O5,CSID16667625,lys-ile-lys-leu,4,0.04210650206361973
lys-leu-ile-lys,C24H48N6O5,C24H48N6O5,CSID16667985,lys-leu-ile-lys,5,0.04210650206361973
13-(β-D-glucosyloxy)docosanoic acid,C28H54O8,C28H54O8,CSID389207,13-(β-D-glucosyloxy)docosanoic acid,1,0.5071020957096833
"(2R,3R,4R,5S)-1,2,3,4,5,6-Hexahydroxyhexyl (13Z)-13-docosenoate (non-preferred name)",C28H54O8,C28H54O8,CSID67160431,"(2R,3R,4R,5S)-1,2,3,4,5,6-Hexahydroxyhexyl (13Z)-13-docosenoate (non-preferred name)",2,0.4928979042903167
"2,4-Bis(2-methyl-2-propanyl)-6-[(E)-{[3-(triethoxysilyl)propyl]imino}methyl]phenol",C24H43NO4Si,C24H43NO4Si,CSID67492316,"2,4-Bis(2-methyl-2-propanyl)-6-[(E)-{[3-(triethoxysilyl)propyl]imino}methyl]phenol",1,1.0
"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(icosyloxy)-2-propanyl (6Z,9Z,12Z)-6,9,12-octadecatrienoate",C47H87O12P,C47H87O12P,CSID115267184,"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(icosyloxy)-2-propanyl (6Z,9Z,12Z)-6,9,12-octadecatrienoate",1,0.17166029861570423
"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(icosyloxy)-2-propanyl (9Z,12Z,15Z)-9,12,15-octadecatrienoate",C47H87O12P,C47H87O12P,CSID115267185,"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(icosyloxy)-2-propanyl (9Z,12Z,15Z)-9,12,15-octadecatrienoate",2,0.17166029861570423
"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-[(1Z)-1-icosen-1-yloxy]-2-propanyl (9Z,12Z)-9,12-octadecadienoate",C47H87O12P,C47H87O12P,CSID115267292,"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-[(1Z)-1-icosen-1-yloxy]-2-propanyl (9Z,12Z)-9,12-octadecadienoate",3,0.1648755937545929
"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(octadecyloxy)-2-propanyl (8Z,11Z,14Z)-8,11,14-icosatrienoate",C47H87O12P,C47H87O12P,CSID115267166,"(2R)-1-[(Hydroxy{[(1S,2R,3R,4S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(octadecyloxy)-2-propanyl (8Z,11Z,14Z)-8,11,14-icosatrienoate",4,0.16393460300466617
