compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",C7HBrClN3,C7HBrClN3,CSID67029161,"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",1,1.0
trifluoroacetic acid,C2HF3O2,C2HF3O2,HMDB14118,trifluoroacetic acid,1,0.5000151098933272
Trifluoroacetic acid,C2HF3O2,C2HF3O2,CSID10239201,Trifluoroacetic acid,2,0.49998489010667274
Trifluoroacetic acid hydrate (1:1),C2H3F3O3,C2H3F3O3,CSID11392028,Trifluoroacetic acid hydrate (1:1),1,0.17061557261976806
"3,4-Diethynylthiophene",C8H4S,C8H4S,CSID13318556,"3,4-Diethynylthiophene",2,0.1658768854760464
"2,3-Diethynylthiophene",C8H4S,C8H4S,CSID13318562,"2,3-Diethynylthiophene",3,0.1658768854760464
"2,4-Diethynylthiophene",C8H4S,C8H4S,CSID24184240,"2,4-Diethynylthiophene",4,0.1658768854760464
"Pentaleno[1,2-b]thiirene",C8H4S,C8H4S,CSID67175533,"Pentaleno[1,2-b]thiirene",5,0.1658768854760464
"Tetrazolo[1,5-a]quinazoline",C8H5N5,C8H5N5,CSID15261328,"Tetrazolo[1,5-a]quinazoline",1,0.03571428571428571
"tetrazolo(1,5-c)quinazoline",C8H5N5,C8H5N5,CSID244782,"tetrazolo(1,5-c)quinazoline",2,0.03571428571428571
imidazopyridopyrimidine,C8H5N5,C8H5N5,CSID24777349,imidazopyridopyrimidine,3,0.03571428571428571
"1H-[1,2,3]Triazolo[4,5-h]quinazoline",C8H5N5,C8H5N5,CSID26996386,"1H-[1,2,3]Triazolo[4,5-h]quinazoline",4,0.03571428571428571
"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",C8H5N5,C8H5N5,CSID28580134,"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",5,0.03571428571428571
"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID10160812,"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",1,0.00949245638876817
Morusignin D,C19H18O6,C19H18O6,CSID10219127,Morusignin D,2,0.00949245638876817
clauslactone F,C19H18O6,C19H18O6,CSID10242763,clauslactone F,3,0.00949245638876817
"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",C19H18O6,C19H18O6,CSID10421090,"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",4,0.00949245638876817
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,CSID109529,"5,6,7,8-Tetramethoxyflavone",5,0.00949245638876817
Gibberellin A59,C19H20O7,C19H20O7,HMDB35051,Gibberellin A59,1,0.013593559434382715
Heteroflavanone A,C19H20O7,C19H20O7,HMDB40910,Heteroflavanone A,2,0.013593559434382715
Edulisin IV,C19H20O7,C19H20O7,HMDB41196,Edulisin IV,3,0.013593559434382715
"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",C19H20O7,C19H20O7,985211,"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",4,0.0135935594338513
"2,3a,7b,12-Tetrahydroxy-5-methyl-3a,4,5,6,7a,7b-hexahydro-2H-tetrapheno[6a,7-b]oxirene-7,8(3H,12bH)-dione",C19H20O7,C19H20O7,985290,"2,3a,7b,12-Tetrahydroxy-5-methyl-3a,4,5,6,7a,7b-hexahydro-2H-tetrapheno[6a,7-b]oxirene-7,8(3H,12bH)-dione",5,0.0135935594338513
N-[2-Chloro(2-~2~H_1_)ethanoyl]-L-valine,C7H11ClDNO3,C7H11ClDNO3,CSID67157118,N-[2-Chloro(2-~2~H_1_)ethanoyl]-L-valine,1,0.01789969183798968
3-(Dihydroxymethyl)-2-chromanone,C10H10O4,C10H10O4,CSID67154125,3-(Dihydroxymethyl)-2-chromanone,2,0.014676526763924454
"3-(Dihydroxymethyl)-2,3-dihydro-4H-chromen-4-one",C10H10O4,C10H10O4,CSID67491984,"3-(Dihydroxymethyl)-2,3-dihydro-4H-chromen-4-one",3,0.014676526763924454
"4,6,8-Decatriyne-1,1,2,3-tetrol",C10H10O4,C10H10O4,CSID113368509,"4,6,8-Decatriyne-1,1,2,3-tetrol",4,0.014654773729426916
2-Hydroxy-4-(2-oxiranylmethoxy)benzaldehyde,C10H10O4,C10H10O4,CSID24604915,2-Hydroxy-4-(2-oxiranylmethoxy)benzaldehyde,5,0.01422565476245671
"2-(3,4-Dihydroxyphenyl)-3,3,5,7-tetrahydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",C20H20O8,C20H20O8,CSID67167140,"2-(3,4-Dihydroxyphenyl)-3,3,5,7-tetrahydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",1,0.015944362919773396
"(6aS,8S,13aR,15S)-15-Hydroxy-8-methyl-1,13-dioxo-4,6,10,11,13b,15-hexahydro-1H,3H,6aH,8H-pyrano[3,4-c]pyrano[3′,4′:3,4]pyrano[2,3-h]chromene-9-carbaldehyde",C20H20O8,C20H20O8,CSID28287012,"(6aS,8S,13aR,15S)-15-Hydroxy-8-methyl-1,13-dioxo-4,6,10,11,13b,15-hexahydro-1H,3H,6aH,8H-pyrano[3,4-c]pyrano[3′,4′:3,4]pyrano[2,3-h]chromene-9-carbaldehyde",2,0.015883901262500562
(±)-sweriledugenin A,C20H20O8,C20H20O8,CSID30830032,(±)-sweriledugenin A,3,0.015883901262500562
Agecorynin A,C20H20O8,C20H20O8,LMPK12140635,Agecorynin A,4,0.01586575590222461
"5,6,7-Trimethoxy-2-(7-methoxy-1,3-benzodioxol-5-yl)-2,3-dihydro-4H-chromen-4-one",C20H20O8,C20H20O8,CSID24846605,"5,6,7-Trimethoxy-2-(7-methoxy-1,3-benzodioxol-5-yl)-2,3-dihydro-4H-chromen-4-one",5,0.015861016539303035
1-O-[(2S)-2-(6-Methoxy-2-naphthyl)propanoyl]-D-glucopyranuronic acid,C20H22O9,C20H22O9,CSID35031819,1-O-[(2S)-2-(6-Methoxy-2-naphthyl)propanoyl]-D-glucopyranuronic acid,1,0.03431825969922871
"Methyl (6aS,7aR,9S,10aS)-4,7a-dihydroxy-2,9-dimethoxy-6a-methyl-5-oxo-6a,7,7a,8,9,10a-hexahydro-5H-benzo[c]furo[2,3-g]chromene-9-carboxylate",C20H22O9,C20H22O9,CSID29355884,"Methyl (6aS,7aR,9S,10aS)-4,7a-dihydroxy-2,9-dimethoxy-6a-methyl-5-oxo-6a,7,7a,8,9,10a-hexahydro-5H-benzo[c]furo[2,3-g]chromene-9-carboxylate",2,0.033248702159632326
(R)-Apiumetin glucoside,C20H22O9,C20H22O9,HMDB39039,(R)-Apiumetin glucoside,3,0.0332420828353931
Edulisin VI,C20H22O9,C20H22O9,HMDB41265,Edulisin VI,4,0.033242082834056996
"(3aR,4S,6aR,7aS,10aS,10bS,10cS)-10a-(Hydroxymethyl)-3,6-bis(methylene)-2,9-dioxododecahydrofuro[3′,2′:7,8]azuleno[1,2-d][1,3]dioxol-4-yl 2-(hydroxymethyl)acrylate",C20H22O9,C20H22O9,CSID17249649,"(3aR,4S,6aR,7aS,10aS,10bS,10cS)-10a-(Hydroxymethyl)-3,6-bis(methylene)-2,9-dioxododecahydrofuro[3′,2′:7,8]azuleno[1,2-d][1,3]dioxol-4-yl 2-(hydroxymethyl)acrylate",5,0.033200995828349456
chlorodimethylsulfoxide,C2H6ClOS,C2H6ClOS,CSID67038442,chlorodimethylsulfoxide,1,1.0
Prop-2-ynoyl fluoride,C3HFO,C3HFO,CSID4482975,Prop-2-ynoyl fluoride,1,1.0
Copper(2+) bis[(2-chlorophenoxy)acetate],C16H12Cl2CuO6,C16H12Cl2CuO6,CSID67154067,Copper(2+) bis[(2-chlorophenoxy)acetate],1,1.0
"[(1,2-Dioxo-1,2-ethanediyl)bis(oxy)]diammonium",C2H6N2O4+2,C2H6N2O4+2,CSID4886846,"[(1,2-Dioxo-1,2-ethanediyl)bis(oxy)]diammonium",1,0.21773408265112063
Trimethylsilyl phosphinite,C3H9OPSi,C3H9OPSi,CSID66424382,Trimethylsilyl phosphinite,2,0.19891210865401698
Diethylphosphine sulfide,C4H11PS,C4H11PS,CSID10454544,Diethylphosphine sulfide,3,0.1797245368433044
Chlorodimethylethylsilane,C4H11ClSi,C4H11ClSi,CSID122464,Chlorodimethylethylsilane,4,0.134543090617186
Diethylchlorosilane,C4H11ClSi,C4H11ClSi,CSID452889,Diethylchlorosilane,5,0.134543090617186
"Dibenzo[b,f]oxepine-2,3-dicarbonitrile",C16H8N2O,C16H8N2O,CSID28636936,"Dibenzo[b,f]oxepine-2,3-dicarbonitrile",1,0.27812759719501834
Carnidazole,C8H12N4O3S,C8H12N4O3S,CSID2297829,Carnidazole,2,0.21220432635086636
"4-Amino-1-(2-deoxy-4-thio-β-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one",C8H12N4O3S,C8H12N4O3S,CSID4435610,"4-Amino-1-(2-deoxy-4-thio-β-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one",3,0.21220432635086636
Proflavin hydrochloride,C13H11ClN3,C13H11ClN3,267390,Proflavin hydrochloride,4,0.1411664967525634
1-Diazo-1-(triethylgermyl)acetone,C9H18GeN2O,C9H18GeN2O,CSID57498628,1-Diazo-1-(triethylgermyl)acetone,5,0.09066006413153087
INDIGO,C16H10N2O2,C16H10N2O2,989847,INDIGO,1,0.03272819188625669
3-(1H-Benzimidazol-2-yl)-4H-chromen-4-one,C16H10N2O2,C16H10N2O2,CSID10592691,3-(1H-Benzimidazol-2-yl)-4H-chromen-4-one,2,0.03271721942674419
"11H-Isoquinolino[3,2-b]quinazoline-6,13-dione",C16H10N2O2,C16H10N2O2,CSID13087818,"11H-Isoquinolino[3,2-b]quinazoline-6,13-dione",3,0.03271721942674419
"3-(1H-Indol-3-yl)-2H-1,4-benzoxazin-2-one",C16H10N2O2,C16H10N2O2,CSID20121340,"3-(1H-Indol-3-yl)-2H-1,4-benzoxazin-2-one",4,0.03271721942674419
"2,3-Di(2-furyl)quinoxaline",C16H10N2O2,C16H10N2O2,CSID206217,"2,3-Di(2-furyl)quinoxaline",5,0.03271721942674419
Ganciclovir sodium dihydrate,C9H16N5NaO6,C9H16N5NaO6,CSID23089463,Ganciclovir sodium dihydrate,1,0.2736496795857225
"2-[(5,7-dimethyl-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)sulfanyl]-N-phenylacetamide",C15H15N5OS,C15H15N5OS,1033360,"2-[(5,7-dimethyl-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)sulfanyl]-N-phenylacetamide",2,0.24212040973215193
"thiophen-2-yl-[4-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperazin-1-yl]methanone",C15H15N5OS,C15H15N5OS,1089291,"thiophen-2-yl-[4-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperazin-1-yl]methanone",3,0.24212040973215193
4-[4-(4-METHYL-2-METHYLAMINO-THIAZOL-5-YL)-PYRIMIDIN-2-YLAMINO]-PHENOL,C15H15N5OS,C15H15N5OS,CSID394905,4-[4-(4-METHYL-2-METHYLAMINO-THIAZOL-5-YL)-PYRIMIDIN-2-YLAMINO]-PHENOL,4,0.24210950094997372
"1-(4-amino-3-pyridin-2-yl-1,2-thiazole-5-carbonyl)piperidine-4-carboxamide",C15H17N5O2S,C15H17N5O2S,1019849,"1-(4-amino-3-pyridin-2-yl-1,2-thiazole-5-carbonyl)piperidine-4-carboxamide",1,0.19277179601965788
"7-[(3,5-dimethoxyphenyl)methylsulfanyl]-3-ethyltriazolo[4,5-d]pyrimidine",C15H17N5O2S,C15H17N5O2S,1045926,"7-[(3,5-dimethoxyphenyl)methylsulfanyl]-3-ethyltriazolo[4,5-d]pyrimidine",2,0.19277179601965788
"[(1E)-6,10-Dihydroxy-11-methyl-3,7-bis(methylene)-1,11-dodecadien-1-yl]carbonimidic dichloride",C16H23Cl2NO2,C16H23Cl2NO2,CSID9306493,"[(1E)-6,10-Dihydroxy-11-methyl-3,7-bis(methylene)-1,11-dodecadien-1-yl]carbonimidic dichloride",3,0.16036801979326856
4-[5-(4-Fluorophenyl)-4-(4-pyridinyl)-1H-imidazol-2-yl]phenol,C20H14FN3O,C20H14FN3O,CSID10739553,4-[5-(4-Fluorophenyl)-4-(4-pyridinyl)-1H-imidazol-2-yl]phenol,4,0.15137319303694702
"2-fluoro-N-(2-phenylimidazo[1,2-a]pyridin-3-yl)benzamide",C20H14FN3O,C20H14FN3O,1015914,"2-fluoro-N-(2-phenylimidazo[1,2-a]pyridin-3-yl)benzamide",5,0.1513575975652343
"trans-1,2-dihydro-1,2-naphthalenediol",C10H10O2,C10H10O2,CSID102791,"trans-1,2-dihydro-1,2-naphthalenediol",1,0.0072465115170774
"4-Methylene-2-phenyl-1,3-dioxolane",C10H10O2,C10H10O2,CSID10292172,"4-Methylene-2-phenyl-1,3-dioxolane",2,0.0072465115170774
"3-Hydroxy-3,4-dihydro-1(2H)-naphthalenone",C10H10O2,C10H10O2,CSID10345934,"3-Hydroxy-3,4-dihydro-1(2H)-naphthalenone",3,0.0072465115170774
"1,4-Bis(vinyloxy)benzene",C10H10O2,C10H10O2,CSID10431457,"1,4-Bis(vinyloxy)benzene",4,0.0072465115170774
(3E)-4-(3-Hydroxyphenyl)-3-buten-2-one,C10H10O2,C10H10O2,CSID10431562,(3E)-4-(3-Hydroxyphenyl)-3-buten-2-one,5,0.0072465115170774
"(E)-2',4,4'-Trihydroxy-3-prenylchalcone",C20H20O4,C20H20O4,HMDB32671,"(E)-2',4,4'-Trihydroxy-3-prenylchalcone",1,0.010077230416571787
Moracin I,C20H20O4,C20H20O4,HMDB33311,Moracin I,2,0.010077230416571787
Phaseollidin,C20H20O4,C20H20O4,HMDB33669,Phaseollidin,3,0.010077230416571787
(R)-Glabridin,C20H20O4,C20H20O4,HMDB34188,(R)-Glabridin,4,0.010077230416571787
Phaseollinisoflavan,C20H20O4,C20H20O4,HMDB34411,Phaseollinisoflavan,5,0.010077230416571787
drypetenone C,C20H22O5,C20H22O5,CSID10214330,drypetenone C,1,0.011315499861274286
Ballonigrinone,C20H22O5,C20H22O5,CSID10222326,Ballonigrinone,2,0.011315499861274286
SALVIARIN,C20H22O5,C20H22O5,CSID10222472,SALVIARIN,3,0.011315499861274286
Teuvincenone C,C20H22O5,C20H22O5,CSID10228954,Teuvincenone C,4,0.011315499861274286
Coleon E,C20H22O5,C20H22O5,CSID10234633,Coleon E,5,0.011315499861274286
"4,4′-(1,4-Phenylene)bis(3,5-dimethyl-1,4,7,8-tetrahydrodipyrazolo[3,4-b:4′,3′-e]pyridine)",C24H24N10,C24H24N10,CSID67170439,"4,4′-(1,4-Phenylene)bis(3,5-dimethyl-1,4,7,8-tetrahydrodipyrazolo[3,4-b:4′,3′-e]pyridine)",1,0.05408476488380102
"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",C23H28N6O4,C23H28N6O4,1036054,"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",2,0.0438240133893055
Kushenol D,C27H32O6,C27H32O6,LMPK12120281,Kushenol D,3,0.038632363149491845
(2S)-2'-Methoxykurarinone,C27H32O6,C27H32O6,LMPK12140500,(2S)-2'-Methoxykurarinone,4,0.038632363149491845
Amoradinin,C27H32O6,C27H32O6,LMPK12140583,Amoradinin,5,0.038632363149491845
17-trifluoromethylphenyl trinor PGF2α methyl ester,C25H33F3O5,C25H33F3O5,64694,17-trifluoromethylphenyl trinor PGF2α methyl ester,1,0.009688123243971367
his-pro-ala-phe,C23H30N6O5,C23H30N6O5,CSID14398775,his-pro-ala-phe,2,0.009152951963560101
his-pro-phe-ala,C23H30N6O5,C23H30N6O5,CSID14398795,his-pro-phe-ala,3,0.009152951963560101
ala-his-phe-pro,C23H30N6O5,C23H30N6O5,CSID16579559,ala-his-phe-pro,4,0.009152951963560101
ala-his-pro-phe,C23H30N6O5,C23H30N6O5,CSID16579578,ala-his-pro-phe,5,0.009152951963560101
"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",C3HF5,C3HF5,CSID4647379,"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",1,0.3333333333333333
"(E)-1,2,3,3,3-Pentafluoropropene",C3HF5,C3HF5,CSID4887279,"(E)-1,2,3,3,3-Pentafluoropropene",2,0.3333333333333333
"1,1,3,3,3-PENTAFLUOROPROPENE",C3HF5,C3HF5,CSID62848,"1,1,3,3,3-PENTAFLUOROPROPENE",3,0.3333333333333333
1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,C26H41N7S,C26H41N7S,1004044,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,1,0.45948973997351766
1-[2-(4-ethylpiperazin-1-yl)-4-methylquinolin-6-yl]-3-[3-(4-ethylpiperazin-1-yl)propyl]thiourea,C26H41N7S,C26H41N7S,999192,1-[2-(4-ethylpiperazin-1-yl)-4-methylquinolin-6-yl]-3-[3-(4-ethylpiperazin-1-yl)propyl]thiourea,2,0.45948973997351766
"N,N-Dihexyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2-(trifluoromethyl)benzamide",C26H41BF3NO3,C26H41BF3NO3,CSID35036396,"N,N-Dihexyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-2-(trifluoromethyl)benzamide",3,0.08102052005296458
"3-[(2E)-3,7-Dimethyl-2,6-octadien-1-yl]-4-hydroxybenzoate",C17H21O3-,C17H21O3-,CSID24603696,"3-[(2E)-3,7-Dimethyl-2,6-octadien-1-yl]-4-hydroxybenzoate",1,1.0
Scabellone B,C34H42O6,C34H42O6,CSID26286198,Scabellone B,1,0.5
"1-[(2E)-3,7-Dimethyl-2,6-octadien-1-yl]-3,6,8-trihydroxy-2-methoxy-4,7-bis(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C34H42O6,C34H42O6,CSID9664477,"1-[(2E)-3,7-Dimethyl-2,6-octadien-1-yl]-3,6,8-trihydroxy-2-methoxy-4,7-bis(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",2,0.5
Bonafousine,C35H40N4O3,C35H40N4O3,CSID10225677,Bonafousine,1,0.36327439163217196
Bonafousine,C35H40N4O3,C35H40N4O3,CSID390555,Bonafousine,2,0.36327439163217196
"(1R,2S,4S,5S,6S,10R,13S,14R,18S,19R,20R)-5-[(tert- Butyldimethylsilyl)oxy]-1,19-dihydroxy-4,8,8,20-tetramethyl-11-methylidene-18-(prop-1-en-2-yl)-7,9,15,17- tetraoxapentacyclo[11.7.0.02,6.06,10.014,18]icosan-16-one",C30H48O8Si,C30H48O8Si,CSID26050844,"(1R,2S,4S,5S,6S,10R,13S,14R,18S,19R,20R)-5-[(tert- Butyldimethylsilyl)oxy]-1,19-dihydroxy-4,8,8,20-tetramethyl-11-methylidene-18-(prop-1-en-2-yl)-7,9,15,17- tetraoxapentacyclo[11.7.0.02,6.06,10.014,18]icosan-16-one",3,0.27345121673565614
"N-[(benzyloxy)carbonyl]-L-leucyl-N-[(1E,3S)-5-methyl-1-(methylsulfonyl)hex-1-en-3-yl]-L-leucinamide",C28H45N3O6S,C28H45N3O6S,CSID4593751,"N-[(benzyloxy)carbonyl]-L-leucyl-N-[(1E,3S)-5-methyl-1-(methylsulfonyl)hex-1-en-3-yl]-L-leucinamide",1,1.0
phe-phe-trp-val,C34H39N5O5,C34H39N5O5,CSID16685305,phe-phe-trp-val,1,0.07512802669328685
phe-phe-val-trp,C34H39N5O5,C34H39N5O5,CSID16685341,phe-phe-val-trp,2,0.07512802669328685
"(1α,6α,14α,16β)-8-Acetoxy-1,6,16-trimethoxy-4-(methoxymethyl)aconit-19-en-14-yl 4-methoxybenzoate",C33H43NO9,C33H43NO9,CSID28285000,"(1α,6α,14α,16β)-8-Acetoxy-1,6,16-trimethoxy-4-(methoxymethyl)aconit-19-en-14-yl 4-methoxybenzoate",3,0.07487002117303697
phe-trp-phe-val,C34H39N5O5,C34H39N5O5,CSID16686816,phe-trp-phe-val,4,0.07227090785265604
phe-trp-val-phe,C34H39N5O5,C34H39N5O5,CSID16686930,phe-trp-val-phe,5,0.07227090785265604
Pyrojesaconitine,C33H45NO10,C33H45NO10,CSID10211305,Pyrojesaconitine,1,0.5
Hypaconitine,C33H45NO10,C33H45NO10,CSID390339,Hypaconitine,2,0.5
ala-trp-tyr-tyr,C32H35N5O7,C32H35N5O7,CSID16583249,ala-trp-tyr-tyr,1,0.027777777777777776
ala-tyr-trp-tyr,C32H35N5O7,C32H35N5O7,CSID16583629,ala-tyr-trp-tyr,2,0.027777777777777776
ala-tyr-tyr-trp,C32H35N5O7,C32H35N5O7,CSID16583647,ala-tyr-tyr-trp,3,0.027777777777777776
phe-ser-trp-tyr,C32H35N5O7,C32H35N5O7,CSID16686098,phe-ser-trp-tyr,4,0.027777777777777776
phe-ser-tyr-trp,C32H35N5O7,C32H35N5O7,CSID16686117,phe-ser-tyr-trp,5,0.027777777777777776
IRAK inhibitor 4,C33H34F3N6O3,C33H34F3N6O3,986762,IRAK inhibitor 4,1,0.07369513464840928
gln-phe-tyr-tyr,C32H37N5O8,C32H37N5O8,CSID16629534,gln-phe-tyr-tyr,2,0.0716334064374681
gln-tyr-phe-tyr,C32H37N5O8,C32H37N5O8,CSID16631434,gln-tyr-phe-tyr,3,0.0716334064374681
gln-tyr-tyr-phe,C32H37N5O8,C32H37N5O8,CSID16631529,gln-tyr-tyr-phe,4,0.0716334064374681
phe-gln-tyr-tyr,C32H37N5O8,C32H37N5O8,CSID16682545,phe-gln-tyr-tyr,5,0.0716334064374681
L-Tyrosyl-D-alanyl-L-phenylalanyl-N-{(2S)-1-({(2S)-1-amino-5-[(diaminomethylene)amino]-1-oxo-2-pentanyl}amino)-5-[(diaminomethylene)amino]-2-pentanyl}-L-leucinamide,C39H63N13O6,C39H63N13O6,CSID8163537,L-Tyrosyl-D-alanyl-L-phenylalanyl-N-{(2S)-1-({(2S)-1-amino-5-[(diaminomethylene)amino]-1-oxo-2-pentanyl}amino)-5-[(diaminomethylene)amino]-2-pentanyl}-L-leucinamide,1,0.35534378024467683
1-Eicosapentaenoyl-2-docosahexaenoyl-sn-glycero-3-phosphoethanolamine,C47H72NO8P,C47H72NO8P,CSID24768924,1-Eicosapentaenoyl-2-docosahexaenoyl-sn-glycero-3-phosphoethanolamine,2,0.1611640549388308
"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-[(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-icosapentaenoyloxy]propyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",C47H72NO8P,C47H72NO8P,CSID24769142,"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-[(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-icosapentaenoyloxy]propyl (4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,16,19-docosahexaenoate",3,0.1611640549388308
"(3E,6E,9E,12E,15E,23R)-29-Amino-26-hydroxy-26-oxido-20-oxo-21,25,27-trioxa-26λ~5~-phosphanonacosa-3,6,9,12,15-pentaen-23-yl (4E,7E,10E,13E,16E,19E)-4,7,10,13,16,19-docosahexaenoate",C47H72NO8P,C47H72NO8P,CSID59699042,"(3E,6E,9E,12E,15E,23R)-29-Amino-26-hydroxy-26-oxido-20-oxo-21,25,27-trioxa-26λ~5~-phosphanonacosa-3,6,9,12,15-pentaen-23-yl (4E,7E,10E,13E,16E,19E)-4,7,10,13,16,19-docosahexaenoate",4,0.1611640549388308
"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-[(5Z,8E,11E,14Z,17Z)-5,8,11,14,17-icosapentaenoyloxy]propyl (4E,7E,10E,13E,16E,19E)-4,7,10,13,16,19-docosahexaenoate",C47H72NO8P,C47H72NO8P,CSID59699256,"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-[(5Z,8E,11E,14Z,17Z)-5,8,11,14,17-icosapentaenoyloxy]propyl (4E,7E,10E,13E,16E,19E)-4,7,10,13,16,19-docosahexaenoate",5,0.1611640549388308
"1-(3,7-Bis{[(2-methoxyethoxy)carbonyl]amino}heptyl)-L-proline",C20H37N3O8,C20H37N3O8,CSID67490524,"1-(3,7-Bis{[(2-methoxyethoxy)carbonyl]amino}heptyl)-L-proline",1,1.0
Chlorophyll d,C54H70MgN4O6,C54H70MgN4O6,HMDB37256,Chlorophyll d,1,0.5000099667021226
Chlorophyll d,C54H70MgN4O6,C54H70MgN4O6,CSID16736116,Chlorophyll d,2,0.4999900332978774
"(2Z,4S)-4-(Acetyloxy)-N-[(2R,3R,5S,6S)-6-[(2E,4E)-5-[(3R,4R,5R,7S)-4,7-dihydroxy-7-methyl-1,6-dioxaspiro[2.5]oct-5-yl]-3-methyl-2,4-pentadien-1-yl]tetrahydro-2,5-dimethyl-2H-pyran-3-yl]-2-pentenamide",C27H41NO8,C27H41NO8,CSID8729038,"(2Z,4S)-4-(Acetyloxy)-N-[(2R,3R,5S,6S)-6-[(2E,4E)-5-[(3R,4R,5R,7S)-4,7-dihydroxy-7-methyl-1,6-dioxaspiro[2.5]oct-5-yl]-3-methyl-2,4-pentadien-1-yl]tetrahydro-2,5-dimethyl-2H-pyran-3-yl]-2-pentenamide",1,0.03405857093414399
"(2E,6E,8S,9S,10R,11E,13R,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,13-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,11-octadecatrienoic acid",C27H41NO8,C27H41NO8,CSID23332982,"(2E,6E,8S,9S,10R,11E,13R,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,13-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,11-octadecatrienoic acid",2,0.02998300751286746
"(2E,6E,8S,9S,10R,11E,13S,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,13-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,11-octadecatrienoic acid",C27H41NO8,C27H41NO8,CSID23332983,"(2E,6E,8S,9S,10R,11E,13S,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,13-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,11-octadecatrienoic acid",3,0.02998300751286746
"(2E,6E,8S,9S,10R,11R,12E,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,11-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,12-octadecatrienoic acid",C27H41NO8,C27H41NO8,CSID24604151,"(2E,6E,8S,9S,10R,11R,12E,14S)-18-(2,6-Dioxo-4-piperidinyl)-9,11-dihydroxy-8-methoxy-10,12,14-trimethyl-15-oxo-2,6,12-octadecatrienoic acid",4,0.02998300751286746
Pictumine,C27H41NO8,C27H41NO8,CSID10211233,Pictumine,5,0.02902990476058609
Pubescenine,C26H41NO8,C26H41NO8,CSID10211321,Pubescenine,1,0.1763089137772587
