compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",C19H18O6,C19H18O6,CSID129307546,"3,4a,7,8-Tetrahydroxy-3-methyl-3,4,4a,12b-tetrahydro-1,6(2H,5H)-tetraphenedione",8,
"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",C19H18O6,C19H18O6,CSID135195,"2-(2,4-Dimethoxyphenyl)-5,7-dimethoxy-4H-chromen-4-one",9,
"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",C19H18O6,C19H18O6,CSID144827,"7-Methoxy-3-(2,4,5-trimethoxyphenyl)-4H-chromen-4-one",10,
Gibberellin A59,C19H20O7,C19H20O7,HMDB35051,Gibberellin A59,1,
Heteroflavanone A,C19H20O7,C19H20O7,HMDB40910,Heteroflavanone A,2,
Edulisin IV,C19H20O7,C19H20O7,HMDB41196,Edulisin IV,3,
"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",C19H20O7,C19H20O7,985211,"(3R,6aR,7S,12aS)-5,6,6a,7,8-Pentahydroxy-3-methyl-2,3,4,5,6,6a,7,12a-octahydro-1,12-tetraphenedione",4,
"2,3a,7b,12-Tetrahydroxy-5-methyl-3a,4,5,6,7a,7b-hexahydro-2H-tetrapheno[6a,7-b]oxirene-7,8(3H,12bH)-dione",C19H20O7,C19H20O7,985290,"2,3a,7b,12-Tetrahydroxy-5-methyl-3a,4,5,6,7a,7b-hexahydro-2H-tetrapheno[6a,7-b]oxirene-7,8(3H,12bH)-dione",5,
"9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin",C19H20O7,C19H20O7,LMPK12020087,"9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin",6,
Pyranochromene,C19H20O7,C19H20O7,LMPK12020088,Pyranochromene,7,
Elaeocyanidin,C19H20O7,C19H20O7,LMPK12020153,Elaeocyanidin,8,
"8-Hydroxy-3,4,9,10-tetramethoxypterocarpan",C19H20O7,C19H20O7,LMPK12070088,"8-Hydroxy-3,4,9,10-tetramethoxypterocarpan",9,
Abruquinone A,C19H20O7,C19H20O7,LMPK12080055,Abruquinone A,10,
3-(Dihydroxymethyl)-2-chromanone,C10H10O4,C10H10O4,CSID67154125,3-(Dihydroxymethyl)-2-chromanone,1,
"3-(Dihydroxymethyl)-2,3-dihydro-4H-chromen-4-one",C10H10O4,C10H10O4,CSID67491984,"3-(Dihydroxymethyl)-2,3-dihydro-4H-chromen-4-one",2,
"4,6,8-Decatriyne-1,1,2,3-tetrol",C10H10O4,C10H10O4,CSID113368509,"4,6,8-Decatriyne-1,1,2,3-tetrol",3,
N-[2-Chloro(2-~2~H_1_)ethanoyl]-L-valine,C7H11ClDNO3,C7H11ClDNO3,CSID67157118,N-[2-Chloro(2-~2~H_1_)ethanoyl]-L-valine,4,
2-Hydroxy-4-(2-oxiranylmethoxy)benzaldehyde,C10H10O4,C10H10O4,CSID24604915,2-Hydroxy-4-(2-oxiranylmethoxy)benzaldehyde,5,
(3Z)-3-(4-Hydroxy-3-methoxybenzylidene)-2-oxiranol,C10H10O4,C10H10O4,CSID67160503,(3Z)-3-(4-Hydroxy-3-methoxybenzylidene)-2-oxiranol,6,
kakuol,C10H10O4,C10H10O4,CSID518869,kakuol,7,
3-(Benzodioxol-5-Yl)Propionic Acid,C10H10O4,C10H10O4,CSID58342,3-(Benzodioxol-5-Yl)Propionic Acid,8,
Piperonyl Acetate,C10H10O4,C10H10O4,CSID9101,Piperonyl Acetate,9,
Benzylmalonic acid,C10H10O4,C10H10O4,CSID11536,Benzylmalonic acid,10,
"2-(3,4-Dihydroxyphenyl)-3,3,5,7-tetrahydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",C20H20O8,C20H20O8,CSID67167140,"2-(3,4-Dihydroxyphenyl)-3,3,5,7-tetrahydroxy-6-(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",1,
"(6aS,8S,13aR,15S)-15-Hydroxy-8-methyl-1,13-dioxo-4,6,10,11,13b,15-hexahydro-1H,3H,6aH,8H-pyrano[3,4-c]pyrano[3′,4′:3,4]pyrano[2,3-h]chromene-9-carbaldehyde",C20H20O8,C20H20O8,CSID28287012,"(6aS,8S,13aR,15S)-15-Hydroxy-8-methyl-1,13-dioxo-4,6,10,11,13b,15-hexahydro-1H,3H,6aH,8H-pyrano[3,4-c]pyrano[3′,4′:3,4]pyrano[2,3-h]chromene-9-carbaldehyde",2,
(±)-sweriledugenin A,C20H20O8,C20H20O8,CSID30830032,(±)-sweriledugenin A,3,
Agecorynin A,C20H20O8,C20H20O8,LMPK12140635,Agecorynin A,4,
"5,6,7-Trimethoxy-2-(7-methoxy-1,3-benzodioxol-5-yl)-2,3-dihydro-4H-chromen-4-one",C20H20O8,C20H20O8,CSID24846605,"5,6,7-Trimethoxy-2-(7-methoxy-1,3-benzodioxol-5-yl)-2,3-dihydro-4H-chromen-4-one",5,
"(2E)-3-[(2R,3R)-3-(3,4-Dihydroxy-5-methoxyphenyl)-2-(hydroxymethyl)-8-methoxy-2,3-dihydro-1,4-benzodioxin-6-yl]acrylaldehyde",C20H20O8,C20H20O8,CSID28287541,"(2E)-3-[(2R,3R)-3-(3,4-Dihydroxy-5-methoxyphenyl)-2-(hydroxymethyl)-8-methoxy-2,3-dihydro-1,4-benzodioxin-6-yl]acrylaldehyde",6,
epoxytwinol A,C20H20O8,C20H20O8,CSID20126767,epoxytwinol A,7,
Sigmoidin G,C20H20O8,C20H20O8,LMPK12140424,Sigmoidin G,8,
6-Hydroxyfibraurin,C20H20O8,C20H20O8,CSID10251956,6-Hydroxyfibraurin,9,
"7-[2-(3-Furyl)-2-oxoethyl]-1-hydroxy-2,7-dimethyl-4,11,14-trioxapentacyclo[7.3.2.1~3,6~.0~2,8~.0~10,12~]pentadecane-5,13-dione",C20H20O8,C20H20O8,CSID28283430,"7-[2-(3-Furyl)-2-oxoethyl]-1-hydroxy-2,7-dimethyl-4,11,14-trioxapentacyclo[7.3.2.1~3,6~.0~2,8~.0~10,12~]pentadecane-5,13-dione",10,
1-O-[(2S)-2-(6-Methoxy-2-naphthyl)propanoyl]-D-glucopyranuronic acid,C20H22O9,C20H22O9,CSID35031819,1-O-[(2S)-2-(6-Methoxy-2-naphthyl)propanoyl]-D-glucopyranuronic acid,1,
"Methyl (6aS,7aR,9S,10aS)-4,7a-dihydroxy-2,9-dimethoxy-6a-methyl-5-oxo-6a,7,7a,8,9,10a-hexahydro-5H-benzo[c]furo[2,3-g]chromene-9-carboxylate",C20H22O9,C20H22O9,CSID29355884,"Methyl (6aS,7aR,9S,10aS)-4,7a-dihydroxy-2,9-dimethoxy-6a-methyl-5-oxo-6a,7,7a,8,9,10a-hexahydro-5H-benzo[c]furo[2,3-g]chromene-9-carboxylate",2,
(R)-Apiumetin glucoside,C20H22O9,C20H22O9,HMDB39039,(R)-Apiumetin glucoside,3,
Edulisin VI,C20H22O9,C20H22O9,HMDB41265,Edulisin VI,4,
"(3aR,4S,6aR,7aS,10aS,10bS,10cS)-10a-(Hydroxymethyl)-3,6-bis(methylene)-2,9-dioxododecahydrofuro[3′,2′:7,8]azuleno[1,2-d][1,3]dioxol-4-yl 2-(hydroxymethyl)acrylate",C20H22O9,C20H22O9,CSID17249649,"(3aR,4S,6aR,7aS,10aS,10bS,10cS)-10a-(Hydroxymethyl)-3,6-bis(methylene)-2,9-dioxododecahydrofuro[3′,2′:7,8]azuleno[1,2-d][1,3]dioxol-4-yl 2-(hydroxymethyl)acrylate",5,
salireposide,C20H22O9,C20H22O9,CSID104951,salireposide,6,
"(2R,3S)-7-{[(2S,3R,4R)-3,4-Dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]oxy}-2-(4-hydroxyphenyl)-3,5-chromanediol",C20H22O9,C20H22O9,CSID24842513,"(2R,3S)-7-{[(2S,3R,4R)-3,4-Dihydroxy-4-(hydroxymethyl)tetrahydro-2-furanyl]oxy}-2-(4-hydroxyphenyl)-3,5-chromanediol",7,
3-(β-D-Allopyranosyloxy)-4-hydroxybenzyl benzoate,C20H22O9,C20H22O9,CSID28283594,3-(β-D-Allopyranosyloxy)-4-hydroxybenzyl benzoate,8,
4-Hydroxy-2-(hydroxymethyl)phenyl 3-O-benzoyl-β-L-talopyranoside,C20H22O9,C20H22O9,CSID28283617,4-Hydroxy-2-(hydroxymethyl)phenyl 3-O-benzoyl-β-L-talopyranoside,9,
4-Hydroxy-2-(hydroxymethyl)phenyl (5ξ)-2-O-benzoyl-β-D-xylo-hexopyranoside,C20H22O9,C20H22O9,CSID28284658,4-Hydroxy-2-(hydroxymethyl)phenyl (5ξ)-2-O-benzoyl-β-D-xylo-hexopyranoside,10,
chlorodimethylsulfoxide,C2H6ClOS,C2H6ClOS,CSID67038442,chlorodimethylsulfoxide,1,
Prop-2-ynoyl fluoride,C3HFO,C3HFO,CSID4482975,Prop-2-ynoyl fluoride,1,
Copper(2+) bis[(2-chlorophenoxy)acetate],C16H12Cl2CuO6,C16H12Cl2CuO6,CSID67154067,Copper(2+) bis[(2-chlorophenoxy)acetate],1,
"[(1,2-Dioxo-1,2-ethanediyl)bis(oxy)]diammonium",C2H6N2O4+2,C2H6N2O4+2,CSID4886846,"[(1,2-Dioxo-1,2-ethanediyl)bis(oxy)]diammonium",1,
Diethylphosphine sulfide,C4H11PS,C4H11PS,CSID10454544,Diethylphosphine sulfide,2,
Trimethylsilyl phosphinite,C3H9OPSi,C3H9OPSi,CSID66424382,Trimethylsilyl phosphinite,3,
Chlorodimethylethylsilane,C4H11ClSi,C4H11ClSi,CSID122464,Chlorodimethylethylsilane,4,
Diethylchlorosilane,C4H11ClSi,C4H11ClSi,CSID452889,Diethylchlorosilane,5,
Silane CMM3,C4H11ClSi,C4H11ClSi,CSID67897,Silane CMM3,6,
Carnidazole,C8H12N4O3S,C8H12N4O3S,CSID2297829,Carnidazole,1,
"4-Amino-1-(2-deoxy-4-thio-β-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one",C8H12N4O3S,C8H12N4O3S,CSID4435610,"4-Amino-1-(2-deoxy-4-thio-β-D-erythro-pentofuranosyl)-1,3,5-triazin-2(1H)-one",2,
"Dibenzo[b,f]oxepine-2,3-dicarbonitrile",C16H8N2O,C16H8N2O,CSID28636936,"Dibenzo[b,f]oxepine-2,3-dicarbonitrile",3,
Proflavin hydrochloride,C13H11ClN3,C13H11ClN3,267390,Proflavin hydrochloride,4,
1-Diazo-1-(triethylgermyl)acetone,C9H18GeN2O,C9H18GeN2O,CSID57498628,1-Diazo-1-(triethylgermyl)acetone,5,
Plutonium,Pu,Pu,CSID22382,Plutonium,6,
"N-[2-(2,5-Dioxo-2,5-dihydro-1H-pyrrol-1-yl)ethyl]-4-fluorobenzamide",C13H11FN2O3,C13H11FN2O3,CSID67158487,"N-[2-(2,5-Dioxo-2,5-dihydro-1H-pyrrol-1-yl)ethyl]-4-fluorobenzamide",1,
N-[(2-Aminoethyl)sulfonyl]-L-histidine,C8H14N4O4S,C8H14N4O4S,CSID8530792,N-[(2-Aminoethyl)sulfonyl]-L-histidine,2,
INDIGO,C16H10N2O2,C16H10N2O2,989847,INDIGO,3,
3-(1H-Benzimidazol-2-yl)-4H-chromen-4-one,C16H10N2O2,C16H10N2O2,CSID10592691,3-(1H-Benzimidazol-2-yl)-4H-chromen-4-one,4,
"11H-Isoquinolino[3,2-b]quinazoline-6,13-dione",C16H10N2O2,C16H10N2O2,CSID13087818,"11H-Isoquinolino[3,2-b]quinazoline-6,13-dione",5,
"3-(1H-Indol-3-yl)-2H-1,4-benzoxazin-2-one",C16H10N2O2,C16H10N2O2,CSID20121340,"3-(1H-Indol-3-yl)-2H-1,4-benzoxazin-2-one",6,
"2,3-Di(2-furyl)quinoxaline",C16H10N2O2,C16H10N2O2,CSID206217,"2,3-Di(2-furyl)quinoxaline",7,
"5H-Indolo[3,2-b]quinoline-11-carboxylic acid",C16H10N2O2,C16H10N2O2,CSID23194370,"5H-Indolo[3,2-b]quinoline-11-carboxylic acid",8,
"2-(1H-Indol-2-yl)-4H-3,1-benzoxazin-4-one",C16H10N2O2,C16H10N2O2,CSID24605731,"2-(1H-Indol-2-yl)-4H-3,1-benzoxazin-4-one",9,
"3-(1H-Indol-2-yl)-2H-1,4-benzoxazin-2-one",C16H10N2O2,C16H10N2O2,CSID24605732,"3-(1H-Indol-2-yl)-2H-1,4-benzoxazin-2-one",10,
Ganciclovir sodium dihydrate,C9H16N5NaO6,C9H16N5NaO6,CSID23089463,Ganciclovir sodium dihydrate,1,
"2-[(5,7-dimethyl-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)sulfanyl]-N-phenylacetamide",C15H15N5OS,C15H15N5OS,1033360,"2-[(5,7-dimethyl-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)sulfanyl]-N-phenylacetamide",2,
"thiophen-2-yl-[4-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperazin-1-yl]methanone",C15H15N5OS,C15H15N5OS,1089291,"thiophen-2-yl-[4-([1,2,4]triazolo[4,3-a]pyridin-3-yl)piperazin-1-yl]methanone",3,
4-[4-(4-METHYL-2-METHYLAMINO-THIAZOL-5-YL)-PYRIMIDIN-2-YLAMINO]-PHENOL,C15H15N5OS,C15H15N5OS,CSID394905,4-[4-(4-METHYL-2-METHYLAMINO-THIAZOL-5-YL)-PYRIMIDIN-2-YLAMINO]-PHENOL,4,
"1-(4-amino-3-pyridin-2-yl-1,2-thiazole-5-carbonyl)piperidine-4-carboxamide",C15H17N5O2S,C15H17N5O2S,1019849,"1-(4-amino-3-pyridin-2-yl-1,2-thiazole-5-carbonyl)piperidine-4-carboxamide",1,
"7-[(3,5-dimethoxyphenyl)methylsulfanyl]-3-ethyltriazolo[4,5-d]pyrimidine",C15H17N5O2S,C15H17N5O2S,1045926,"7-[(3,5-dimethoxyphenyl)methylsulfanyl]-3-ethyltriazolo[4,5-d]pyrimidine",2,
4-[5-(4-Fluorophenyl)-4-(4-pyridinyl)-1H-imidazol-2-yl]phenol,C20H14FN3O,C20H14FN3O,CSID10739553,4-[5-(4-Fluorophenyl)-4-(4-pyridinyl)-1H-imidazol-2-yl]phenol,3,
"2-fluoro-N-(2-phenylimidazo[1,2-a]pyridin-3-yl)benzamide",C20H14FN3O,C20H14FN3O,1015914,"2-fluoro-N-(2-phenylimidazo[1,2-a]pyridin-3-yl)benzamide",4,
"N-[2-(4-fluorophenyl)imidazo[1,2-a]pyridin-3-yl]benzamide",C20H14FN3O,C20H14FN3O,999183,"N-[2-(4-fluorophenyl)imidazo[1,2-a]pyridin-3-yl]benzamide",5,
"[(1E)-6,10-Dihydroxy-11-methyl-3,7-bis(methylene)-1,11-dodecadien-1-yl]carbonimidic dichloride",C16H23Cl2NO2,C16H23Cl2NO2,CSID9306493,"[(1E)-6,10-Dihydroxy-11-methyl-3,7-bis(methylene)-1,11-dodecadien-1-yl]carbonimidic dichloride",6,
"trans-1,2-dihydro-1,2-naphthalenediol",C10H10O2,C10H10O2,CSID102791,"trans-1,2-dihydro-1,2-naphthalenediol",1,
"4-Methylene-2-phenyl-1,3-dioxolane",C10H10O2,C10H10O2,CSID10292172,"4-Methylene-2-phenyl-1,3-dioxolane",2,
"3-Hydroxy-3,4-dihydro-1(2H)-naphthalenone",C10H10O2,C10H10O2,CSID10345934,"3-Hydroxy-3,4-dihydro-1(2H)-naphthalenone",3,
"1,4-Bis(vinyloxy)benzene",C10H10O2,C10H10O2,CSID10431457,"1,4-Bis(vinyloxy)benzene",4,
(3E)-4-(3-Hydroxyphenyl)-3-buten-2-one,C10H10O2,C10H10O2,CSID10431562,(3E)-4-(3-Hydroxyphenyl)-3-buten-2-one,5,
"2,2′-(1,1-Ethanediyl)difuran",C10H10O2,C10H10O2,CSID10492009,"2,2′-(1,1-Ethanediyl)difuran",6,
"cis-1,2-dihydro-1,2-naphthalenediol",C10H10O2,C10H10O2,CSID106535,"cis-1,2-dihydro-1,2-naphthalenediol",7,
5-Hydroy-1-tetraione,C10H10O2,C10H10O2,CSID107070,5-Hydroy-1-tetraione,8,
2-Chromanecarbaldehyde,C10H10O2,C10H10O2,CSID11206572,2-Chromanecarbaldehyde,9,
"1,1(2H)-Naphthalenediol",C10H10O2,C10H10O2,CSID11535683,"1,1(2H)-Naphthalenediol",10,
"(E)-2',4,4'-Trihydroxy-3-prenylchalcone",C20H20O4,C20H20O4,HMDB32671,"(E)-2',4,4'-Trihydroxy-3-prenylchalcone",1,
Moracin I,C20H20O4,C20H20O4,HMDB33311,Moracin I,2,
Phaseollidin,C20H20O4,C20H20O4,HMDB33669,Phaseollidin,3,
(R)-Glabridin,C20H20O4,C20H20O4,HMDB34188,(R)-Glabridin,4,
Phaseollinisoflavan,C20H20O4,C20H20O4,HMDB34411,Phaseollinisoflavan,5,
Sophorapterocarpan A,C20H20O4,C20H20O4,LMPK12070008,Sophorapterocarpan A,6,
(-)-Phaseollidin,C20H20O4,C20H20O4,LMPK12070011,(-)-Phaseollidin,7,
Calocarpin,C20H20O4,C20H20O4,LMPK12070012,Calocarpin,8,
Crotmarine,C20H20O4,C20H20O4,LMPK12080005,Crotmarine,9,
Glabridin,C20H20O4,C20H20O4,LMPK12080012,Glabridin,10,
drypetenone C,C20H22O5,C20H22O5,CSID10214330,drypetenone C,1,
Ballonigrinone,C20H22O5,C20H22O5,CSID10222326,Ballonigrinone,2,
SALVIARIN,C20H22O5,C20H22O5,CSID10222472,SALVIARIN,3,
Teuvincenone C,C20H22O5,C20H22O5,CSID10228954,Teuvincenone C,4,
Coleon E,C20H22O5,C20H22O5,CSID10234633,Coleon E,5,
"(9S,11bS)-7,11-Dihydroxy-4-(hydroxymethyl)-3,9,11b-trimethyl-1,8,9,11b-tetrahydrophenanthro[3,2-b]furan-6(2H)-one",C20H22O5,C20H22O5,CSID113385714,"(9S,11bS)-7,11-Dihydroxy-4-(hydroxymethyl)-3,9,11b-trimethyl-1,8,9,11b-tetrahydrophenanthro[3,2-b]furan-6(2H)-one",6,
"2,3-Epoxypropyl-p-methoxyphenyl ether",C20H22O5,C20H22O5,CSID14085026,"2,3-Epoxypropyl-p-methoxyphenyl ether",7,
Homoegonol,C20H22O5,C20H22O5,CSID154094,Homoegonol,8,
"(3α,8α,9β,10α,13α)-6-Hydroxy-3,20-epoxykaura-5,16-diene-1,7,15-trione",C20H22O5,C20H22O5,CSID16738128,"(3α,8α,9β,10α,13α)-6-Hydroxy-3,20-epoxykaura-5,16-diene-1,7,15-trione",9,
"(6aR,11aR)-8-(3-Hydroxy-3-methylbutyl)-6a,11a-dihydro-6H-[1]benzofuro[3,2-c]chromene-3,9-diol",C20H22O5,C20H22O5,CSID23551275,"(6aR,11aR)-8-(3-Hydroxy-3-methylbutyl)-6a,11a-dihydro-6H-[1]benzofuro[3,2-c]chromene-3,9-diol",10,
"4,4′-(1,4-Phenylene)bis(3,5-dimethyl-1,4,7,8-tetrahydrodipyrazolo[3,4-b:4′,3′-e]pyridine)",C24H24N10,C24H24N10,CSID67170439,"4,4′-(1,4-Phenylene)bis(3,5-dimethyl-1,4,7,8-tetrahydrodipyrazolo[3,4-b:4′,3′-e]pyridine)",1,
"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",C23H28N6O4,C23H28N6O4,1036054,"N,N-diethyl-3-oxo-4-[2-oxo-2-(4-pyrimidin-2-ylpiperazin-1-yl)ethyl]-1,4-benzoxazine-6-carboxamide",2,
Kushenol D,C27H32O6,C27H32O6,LMPK12120281,Kushenol D,3,
(2S)-2'-Methoxykurarinone,C27H32O6,C27H32O6,LMPK12140500,(2S)-2'-Methoxykurarinone,4,
Amoradinin,C27H32O6,C27H32O6,LMPK12140583,Amoradinin,5,
(2S)-2′-methoxykurarinone,C27H32O6,C27H32O6,CSID10155208,(2S)-2′-methoxykurarinone,6,
"5-Hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-methoxy-6,8-bis(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",C27H32O6,C27H32O6,CSID24846574,"5-Hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-methoxy-6,8-bis(3-methyl-2-buten-1-yl)-2,3-dihydro-4H-chromen-4-one",7,
"(2S)-2-(3,4-Dimethoxyphenyl)-6-[(2E)-3,7-dimethyl-2,6-octadien-1-yl]-5,7-dihydroxy-2,3-dihydro-4H-chromen-4-one",C27H32O6,C27H32O6,CSID28285029,"(2S)-2-(3,4-Dimethoxyphenyl)-6-[(2E)-3,7-dimethyl-2,6-octadien-1-yl]-5,7-dihydroxy-2,3-dihydro-4H-chromen-4-one",8,
"Methyl {(1S,6S)-6-[(1R,6S,8aR)-1-(3-furyl)-8a-methyl-5-methylene-3-oxo-3,5,6,7,8,8a-hexahydro-1H-isochromen-6-yl]-2,2,6-trimethyl-5-oxo-3-cyclohexen-1-yl}acetate",C27H32O6,C27H32O6,CSID28286734,"Methyl {(1S,6S)-6-[(1R,6S,8aR)-1-(3-furyl)-8a-methyl-5-methylene-3-oxo-3,5,6,7,8,8a-hexahydro-1H-isochromen-6-yl]-2,2,6-trimethyl-5-oxo-3-cyclohexen-1-yl}acetate",9,
"(11α,13α,14β,15β,17α)-17-(3-Furyl)-11-hydroxy-6-methoxy-4,4,8-trimethyl-14,15-epoxyandrosta-1,5-diene-3,7-dione",C27H32O6,C27H32O6,CSID28542174,"(11α,13α,14β,15β,17α)-17-(3-Furyl)-11-hydroxy-6-methoxy-4,4,8-trimethyl-14,15-epoxyandrosta-1,5-diene-3,7-dione",10,
17-trifluoromethylphenyl trinor PGF2α methyl ester,C25H33F3O5,C25H33F3O5,64694,17-trifluoromethylphenyl trinor PGF2α methyl ester,1,
his-pro-ala-phe,C23H30N6O5,C23H30N6O5,CSID14398775,his-pro-ala-phe,2,
his-pro-phe-ala,C23H30N6O5,C23H30N6O5,CSID14398795,his-pro-phe-ala,3,
ala-his-phe-pro,C23H30N6O5,C23H30N6O5,CSID16579559,ala-his-phe-pro,4,
ala-his-pro-phe,C23H30N6O5,C23H30N6O5,CSID16579578,ala-his-pro-phe,5,
ala-phe-his-pro,C23H30N6O5,C23H30N6O5,CSID16581452,ala-phe-his-pro,6,
ala-phe-pro-his,C23H30N6O5,C23H30N6O5,CSID16581564,ala-phe-pro-his,7,
ala-pro-his-phe,C23H30N6O5,C23H30N6O5,CSID16581848,ala-pro-his-phe,8,
ala-pro-phe-his,C23H30N6O5,C23H30N6O5,CSID16581943,ala-pro-phe-his,9,
his-ala-phe-pro,C23H30N6O5,C23H30N6O5,CSID16640159,his-ala-phe-pro,10,
"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",C3HF5,C3HF5,CSID4647379,"(1Z)-1,2,3,3,3-Pentafluoro-1-propene",1,
"(E)-1,2,3,3,3-Pentafluoropropene",C3HF5,C3HF5,CSID4887279,"(E)-1,2,3,3,3-Pentafluoropropene",2,
"1,1,3,3,3-PENTAFLUOROPROPENE",C3HF5,C3HF5,CSID62848,"1,1,3,3,3-PENTAFLUOROPROPENE",3,
1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,C26H41N7S,C26H41N7S,1004044,1-[4-methyl-2-(4-methylpiperazin-1-yl)quinolin-6-yl]-3-[3-(4-propylpiperazin-1-yl)propyl]thiourea,1,
1-[2-(4-ethylpiperazin-1-yl)-4-methylquinolin-6-yl]-3-[3-(4-ethylpiperazin-1-yl)propyl]thiourea,C26H41N7S,C26H41N7S,999192,1-[2-(4-ethylpiperazin-1-yl)-4-methylquinolin-6-yl]-3-[3-(4-ethylpiperazin-1-yl)propyl]thiourea,2,
