compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",C7HBrClN3,C7HBrClN3,CSID67029161,"5-Bromo-2-chloro-3,4-pyridinedicarbonitrile",1,
trifluoroacetic acid,C2HF3O2,C2HF3O2,HMDB14118,trifluoroacetic acid,1,
Trifluoroacetic acid,C2HF3O2,C2HF3O2,CSID10239201,Trifluoroacetic acid,2,
Trifluoroacetic acid hydrate (1:1),C2H3F3O3,C2H3F3O3,CSID11392028,Trifluoroacetic acid hydrate (1:1),1,
"3,4-Diethynylthiophene",C8H4S,C8H4S,CSID13318556,"3,4-Diethynylthiophene",2,
"2,3-Diethynylthiophene",C8H4S,C8H4S,CSID13318562,"2,3-Diethynylthiophene",3,
"2,4-Diethynylthiophene",C8H4S,C8H4S,CSID24184240,"2,4-Diethynylthiophene",4,
"Pentaleno[1,2-b]thiirene",C8H4S,C8H4S,CSID67175533,"Pentaleno[1,2-b]thiirene",5,
TIMTEC-BB SBB008745,C8H4S,C8H4S,CSID9518978,TIMTEC-BB SBB008745,6,
"Tetrazolo[1,5-a]quinazoline",C8H5N5,C8H5N5,CSID15261328,"Tetrazolo[1,5-a]quinazoline",1,
"tetrazolo(1,5-c)quinazoline",C8H5N5,C8H5N5,CSID244782,"tetrazolo(1,5-c)quinazoline",2,
imidazopyridopyrimidine,C8H5N5,C8H5N5,CSID24777349,imidazopyridopyrimidine,3,
"1H-[1,2,3]Triazolo[4,5-h]quinazoline",C8H5N5,C8H5N5,CSID26996386,"1H-[1,2,3]Triazolo[4,5-h]quinazoline",4,
"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",C8H5N5,C8H5N5,CSID28580134,"3H-Imidazo[4′,5′:4,5]pyrido[2,3-d]pyrimidine",5,
"1H-[1,2,3]Triazolo[4,5-f]phthalazine",C8H5N5,C8H5N5,CSID29321288,"1H-[1,2,3]Triazolo[4,5-f]phthalazine",6,
"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",C8H5N5,C8H5N5,CSID29781257,"2H-[1,2,3]Triazolo[4,5-f]quinoxaline",7,
"3,3,4,4-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID60752240,"3,3,4,4-Pyrrolidinetetracarbonitrile",8,
"3H-Imidazo[4,5-f][1,2,3]benzotriazine",C8H5N5,C8H5N5,CSID67024098,"3H-Imidazo[4,5-f][1,2,3]benzotriazine",9,
"1,2,2,3-Pyrrolidinetetracarbonitrile",C8H5N5,C8H5N5,CSID67025418,"1,2,2,3-Pyrrolidinetetracarbonitrile",10,
Hyrtinadine A,C20H14N4O2,C20H14N4O2,CSID17214309,Hyrtinadine A,1,
bilinic acid,C20H14N4O2,C20H14N4O2,CSID66739020,bilinic acid,2,
"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",C19H18O6,C19H18O6,CSID10160812,"4,6,8-Trihydroxy-1-methoxy-2-(3-methyl-2-buten-1-yl)-9H-xanthen-9-one",3,
Morusignin D,C19H18O6,C19H18O6,CSID10219127,Morusignin D,4,
clauslactone F,C19H18O6,C19H18O6,CSID10242763,clauslactone F,5,
"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",C19H18O6,C19H18O6,CSID10421090,"1,3,8-Trihydroxy-6-(2-hydroxypentyl)-9,10-anthraquinone",6,
"5,6,7,8-Tetramethoxyflavone",C19H18O6,C19H18O6,CSID109529,"5,6,7,8-Tetramethoxyflavone",7,
